	31700	530451	31328	S28Hp	S15Hp	S4Hp	S22Hp	530075	31750	31071	31267	F1H1	S1Hp	w18pp	f7pp	w26pp	31232	f16ppA	w20pp	530227	f1pp	S19H1	w8pp	31160	530154	530055	31519	530315	530177	31333	530444	530258	31236	530331	S7Hp	31723	31600	530295	530119	F32H1	530368
31160	0.26992027389559825	0.2887196668337414	0.2921813927406465	0.22687223412743251	0.2027586383369407	0.25836244753700727	0.2701699508671206	0.2575872372856923	0.2529061521302708	0.25739255480649187	0.28051103334290317	0.2784069626969433	0.22680874654077823	0.228423573745841	0.21179355793336047	0.22638571978969146	0.26352662958569595	0.22502486420717316	0.22196308056187658	0.2879185286026039	0.21973192847931283	0.2706976346524443	0.22888416300338787	0.0	0.2937842500473845	0.2314242860771127	0.23471204941267793	0.2593652336982003	0.26055412499789155	0.21785432459442106	0.24796913815365795	0.2585823422595884	0.2684190448762567	0.245855488081028	0.24219206934756482	0.3142570788722153	0.3253982357469801	0.31734400971098575	0.29638512338350503	0.2888460945488782	0.28433474781142676
530154	0.3055449409700254	0.3243443339081685	0.3278060598150736	0.26249690120185964	0.23838330541136787	0.29398711461143445	0.3057946179415478	0.29321190436011946	0.288530819204698	0.29301722188091905	0.3161357004173303	0.31403162977137045	0.2624334136152054	0.2640482408202681	0.24741822500778765	0.26201038686411865	0.29915129666012313	0.26064953128160034	0.25758774763630377	0.32354319567703105	0.25535659555373996	0.30632230172687147	0.26450883007781506	0.2937842500473845	0.0	0.26041132139295126	0.26369908472851644	0.2883522690140388	0.2895411603137301	0.2468413599102596	0.2769561734694965	0.28756937757542694	0.29740608019209525	0.27484252339686654	0.277816736421992	0.34988174594664245	0.36102290282140725	0.3529686767854129	0.3320097904579322	0.3244707616233054	0.31995941488585394
530055	0.24318497699975355	0.2619843699378967	0.2654460958448018	0.20013693723158785	0.17602334144109605	0.2316271506411626	0.24343465397127595	0.23085194038984766	0.22617085523442615	0.2306572579106472	0.2537757364470585	0.2516716658010986	0.20007344964493357	0.2016882768499963	0.18505826103751583	0.19965042289384682	0.2367913326898513	0.19828956731132852	0.1952277836660319	0.2611832317067593	0.19299663158346814	0.24396233775659962	0.20214886610754323	0.2314242860771127	0.26041132139295126	0.0	0.1885057701366232	0.21315895442214552	0.2143478457218368	0.17164804531836633	0.20176285887760323	0.22231804118344523	0.23215474380011353	0.20959118700488485	0.21545677245172015	0.2875217819763707	0.29866293885113543	0.29060871281514106	0.2696498264876604	0.2621107976530335	0.25759945091558206
31519	0.2464727403353188	0.2652721332734619	0.26873385918036696	0.20342470056715306	0.17931110477666123	0.2349149139767278	0.24672241730684116	0.23413970372541287	0.22945861856999136	0.23394502124621241	0.25706349978262366	0.2549594291366638	0.20336121298049878	0.20497604018556154	0.188346024373081	0.202938186229412	0.24007909602541652	0.2015773306468937	0.19851554700159713	0.26447099504232446	0.19628439491903338	0.24725010109216483	0.20543662944310842	0.23471204941267793	0.26369908472851644	0.1885057701366232	0.0	0.17627044668169972	0.177459337981391	0.165488704684692	0.1956035182439289	0.22560580451901047	0.2354425071356787	0.21287895034045007	0.21874453578728537	0.29080954531193587	0.3019507021867006	0.2938964761507063	0.2729375898232256	0.2653985609885987	0.2608872142511473
530315	0.2711259246208411	0.28992531755898426	0.29338704346588934	0.2280778848526754	0.2039642890621836	0.25956809826225014	0.2713756015923635	0.25879288801093525	0.2541118028555137	0.25859820553173474	0.28171668406814604	0.2796126134221862	0.22801439726602113	0.22962922447108386	0.2129992086586034	0.2275913705149344	0.2647322803109389	0.22623051493241608	0.22316873128711948	0.28912417932784684	0.2209375792045557	0.27190328537768715	0.2300898137286308	0.2593652336982003	0.2883522690140388	0.21315895442214552	0.17627044668169972	0.0	0.08930114673336612	0.19014188897021433	0.22025670252945123	0.2502589888045328	0.26009569142120104	0.2375321346259724	0.24339772007280772	0.31546272959745825	0.326603886472223	0.3185496604362286	0.2975907741087479	0.2900517452741211	0.2855403985366696
530177	0.2723148159205324	0.29111420885867556	0.29457593476558064	0.22926677615236668	0.20515318036187485	0.26075698956194143	0.27256449289205475	0.2599817793106265	0.25530069415520495	0.25978709683142603	0.28290557536783734	0.2808015047218775	0.2292032885657124	0.23081811577077516	0.21418809995829463	0.22878026181462563	0.2659211716106301	0.22741940623210732	0.22435762258681075	0.2903130706275381	0.222126470504247	0.27309217667737845	0.23127870502832204	0.26055412499789155	0.2895411603137301	0.2143478457218368	0.177459337981391	0.08930114673336612	0.0	0.1913307802699056	0.2214455938291425	0.25144788010422403	0.26128458272089233	0.2387210259256637	0.24458661137249899	0.3166516208971495	0.3277927777719143	0.3197385517359199	0.2987796654084392	0.2912406365738124	0.2867292898363609
31333	0.22961501551706193	0.24841440845520504	0.2518761343621101	0.1865669757488962	0.16245337995840436	0.21805718915847094	0.2298646924885843	0.217281978907156	0.2126008937517345	0.21708729642795555	0.24020577496436682	0.23810170431840696	0.1865034881622419	0.18811831536730467	0.17148829955482414	0.18608046141115514	0.22322137120715965	0.18471960582863683	0.18165782218334026	0.2476132702240676	0.1794266701007765	0.23039237627390796	0.18857890462485155	0.21785432459442106	0.2468413599102596	0.17164804531836633	0.165488704684692	0.19014188897021433	0.1913307802699056	0.0	0.1739787935083451	0.2087480797007536	0.21858478231742184	0.1960212255221932	0.2018868109690285	0.273951820493679	0.28509297736844375	0.27703875133244943	0.2560798650049687	0.24854083617034187	0.24402948943289043
530444	0.2597298290762988	0.27852922201444197	0.28199094792134705	0.2166817893081331	0.19256819351764126	0.24817200271770784	0.25997950604782116	0.2473967924663929	0.2427157073109714	0.24720210998719244	0.27032058852360374	0.2682165178776439	0.2166183017214788	0.21823312892654156	0.20160311311406104	0.21619527497039204	0.2533361847663965	0.21483441938787373	0.21177263574257715	0.2777280837833045	0.2095414836600134	0.26050718983314486	0.21869371818408845	0.24796913815365795	0.2769561734694965	0.20176285887760323	0.1956035182439289	0.22025670252945123	0.2214455938291425	0.1739787935083451	0.0	0.2388628932599905	0.24869959587665874	0.2261360390814301	0.2320016245282654	0.3040666340529159	0.3152077909276807	0.3071535648916863	0.2861946785642056	0.2786556497295788	0.27414430299212733
530258	0.27034303318222924	0.2891424261203724	0.29260415202727746	0.22729499341406353	0.20318139762357174	0.25878520682363826	0.27059271015375164	0.2580099965723234	0.25332891141690184	0.25781531409312286	0.28093379262953416	0.2788297219835743	0.22723150582740925	0.22884633303247198	0.2122163172199915	0.2268084790763225	0.263949388872327	0.2254476234938042	0.2223858398485076	0.28834128788923497	0.22015468776594382	0.2711203939390753	0.22930692229001892	0.2585823422595884	0.28756937757542694	0.22231804118344523	0.22560580451901047	0.2502589888045328	0.25144788010422403	0.2087480797007536	0.2388628932599905	0.0	0.2500427345226829	0.22747917772745424	0.24261482863419584	0.31467983815884637	0.3258209950336111	0.31776676899761674	0.296807882670136	0.2892688538355092	0.28475750709805775
31236	0.28017973579889754	0.2989791287370407	0.30244085464394577	0.2371316960307318	0.21301810024023998	0.26862190944030656	0.2804294127704199	0.2678466991889916	0.2631656140335701	0.26765201670979116	0.29077049524620247	0.2886664246002426	0.23706820844407753	0.23868303564914028	0.22205301983665976	0.23664518169299076	0.27378609148899524	0.23528432611047245	0.23222254246517587	0.2981779905059032	0.22999139038261213	0.2809570965557436	0.23914362490668717	0.2684190448762567	0.29740608019209525	0.23215474380011353	0.2354425071356787	0.26009569142120104	0.26128458272089233	0.21858478231742184	0.24869959587665874	0.2500427345226829	0.0	0.22783331902728415	0.2524515312508641	0.3245165407755146	0.3356576976502794	0.32760347161428505	0.3066445852868043	0.2991055564521775	0.29459420971472605
530331	0.25761617900366884	0.276415571941812	0.27987729784871707	0.21456813923550314	0.19045454344501134	0.2460583526450779	0.25786585597519124	0.24528314239376295	0.24060205723834144	0.2450884599145625	0.26820693845097376	0.2661028678050139	0.21450465164884885	0.21611947885391158	0.19948946304143111	0.2140816248977621	0.2512225346937666	0.2127207693152438	0.2096589856699472	0.2756144337106745	0.20742783358738343	0.25839353976051493	0.21658006811145852	0.245855488081028	0.27484252339686654	0.20959118700488485	0.21287895034045007	0.2375321346259724	0.2387210259256637	0.1960212255221932	0.2261360390814301	0.22747917772745424	0.22783331902728415	0.0	0.22988797445563544	0.3019529839802859	0.3130941408550507	0.30503991481905635	0.2840810284915757	0.2765419996569488	0.27203065291949735
S7Hp	0.19407316008747522	0.21287255302561836	0.21633427893252344	0.15102512031930954	0.15852266850168434	0.22468983954985688	0.24538834450092725	0.23280563091949896	0.22812454576407745	0.2326109484402985	0.25572942697670975	0.2536253563307499	0.20202714017458487	0.20364196737964763	0.1870119515671671	0.2016041134234981	0.2387450232195026	0.2002432578409798	0.19718147419568322	0.26313692223641055	0.19495032211311947	0.24591602828625092	0.2041025566371945	0.24219206934756482	0.277816736421992	0.21545677245172015	0.21874453578728537	0.24339772007280772	0.24458661137249899	0.2018868109690285	0.2320016245282654	0.24261482863419584	0.2524515312508641	0.22988797445563544	0.0	0.23840996506409232	0.2495511219388571	0.24149689590286272	0.22053800957538205	0.21299898074075518	0.20848763400330375
31723	0.1512982043043975	0.17009759724254062	0.1735593231494457	0.1722796987276316	0.23058767802633484	0.2967548490745074	0.3174533540255777	0.30487064044414947	0.3001895552887279	0.304675957964949	0.3277944365013603	0.32569036585540045	0.27409214969923534	0.27570697690429813	0.2590769610918176	0.2736691229481486	0.3108100327441531	0.2723082673656303	0.2692464837203337	0.33520193176106106	0.2670153316377699	0.3179810378109014	0.276167566161845	0.3142570788722153	0.34988174594664245	0.2875217819763707	0.29080954531193587	0.31546272959745825	0.3166516208971495	0.273951820493679	0.3040666340529159	0.31467983815884637	0.3245165407755146	0.3019529839802859	0.23840996506409232	0.0	0.140572356186755	0.1477605688017013	0.17776305379230428	0.17022402495767744	0.165712678220226
