	S23Hp	530295	31452	530315	31009	S20H1	31160	31700	S26Hp	S13Hp	f14ppB	S18H1	F32H1	530119	530215	S17H1	S16H2	S21H1	S28Hp	S31Hp	S19H1	F14H1B	S25Hp	31236	530167	S3Hp	31219	S1Hp	S22Hp	F8H1	S14Hp	31300	31267	31750	S6Hp	S7Hp	F23HpA	31328	F14H1A	530055	S9H1	F7H1
f14ppB	0.293596452074778	0.3077003204580605	0.2740474511810002	0.33400506921067485	0.333015602723437	0.3575502844175798	0.2598174809995439	0.3029708659675736	0.2521379488192949	0.244968399727591	0.0	0.18596395589849607	0.2600090257128949	0.3474930986643876	0.3460687788072251	0.3993469286869539	0.2704025405988335	0.28764496084624486	0.3155613548348877	0.360058371755907	0.37971257159850924	0.31074322880446936	0.42847199599435215	0.39272934189402003	0.4011657913682569	0.3469517783598639	0.33520912184622415	0.3008539976580964	0.37641063812571146	0.38680719269518266	0.3477260509784843	0.28845175128839623	0.3417335639881438	0.3292766688318032	0.3356197715649505	0.41419713040142814	0.29537540390072736	0.39550695000518254	0.25279059098746814	0.3728549130885793	0.2898300787474472	0.3109511455545467
S18H1	0.22271959659963286	0.23682346498291534	0.20317059570585505	0.26312821373552975	0.26213874724829184	0.28667342894243464	0.18894062552439872	0.2320940104924285	0.18126109334414975	0.2840381856158175	0.18596395589849607	0.0	0.18913217023774975	0.2766162431892425	0.27519192333207987	0.3284700732118087	0.19952568512368837	0.2167681053710997	0.2446844993597425	0.28918151628076183	0.30883571612336413	0.23986637332932417	0.35759514051920704	0.3218524864188749	0.3302889358931118	0.27607492288471874	0.264332266371079	0.2299771421829512	0.3055337826505663	0.3159303372200375	0.2768491955033392	0.21757489581325107	0.2708567085129986	0.25839981335665796	0.2647429160898053	0.343320274926283	0.22449854842558223	0.3246300945300373	0.18191373551232298	0.3019780576134341	0.21895322327230204	0.2400742900794016
F32H1	0.23781465511319322	0.2519185234964757	0.2182656542194154	0.2782232722490901	0.2772338057618522	0.301768487455995	0.20403568403795908	0.24718906900598886	0.22604206825019973	0.35808325543021635	0.2600090257128949	0.18913217023774975	0.0	0.15188459164049173	0.15046027178332916	0.34356513172536907	0.21462074363724873	0.23186316388466005	0.25977955787330287	0.3042765747943222	0.32393077463692443	0.25496143184288456	0.37269019903276734	0.33694754493243523	0.3453839944066721	0.2911699813982791	0.27942732488463934	0.24507220069651156	0.32062884116412665	0.33102539573359785	0.2919442540168995	0.23266995432681142	0.285951767026559	0.27349487187021837	0.2798379746033657	0.35841533343984333	0.23959360693914258	0.33972515304359774	0.19700879402588334	0.3170731161269945	0.2340482817858624	0.2551693485929619
530119	0.32529872806468596	0.33940259644796844	0.30574972717090815	0.3657073452005828	0.36471787871334493	0.38925256040748774	0.2915197569894518	0.33467314195748155	0.3135261412016924	0.4455673283817091	0.3474930986643876	0.2766162431892425	0.15188459164049173	0.0	0.11344810941444722	0.4310492046768618	0.30210481658874144	0.3193472368361528	0.3472636308247956	0.3917606477458149	0.4114148475884172	0.3424455047943773	0.4601742719842601	0.42443161788392797	0.43286806735816485	0.37865405434977184	0.3669113978361321	0.33255627364800433	0.4081129141156194	0.4185094686850906	0.37942832696839224	0.32015402727830417	0.37343583997805174	0.3609789448217111	0.3673220475548584	0.4458994063913361	0.3270776798906353	0.4272092259950905	0.2844928669773761	0.40455718907848726	0.32153235473735514	0.34265342154445466
530215	0.3238744082075234	0.33797827659080587	0.3043254073137456	0.3642830253434203	0.36329355885618236	0.38782824055032517	0.29009543713228925	0.33324882210031903	0.3121018213445299	0.4441430085245465	0.3460687788072251	0.27519192333207987	0.15046027178332916	0.11344810941444722	0.0	0.42962488481969924	0.30068049673157893	0.3179229169789902	0.34583931096763304	0.39033632788865236	0.40999052773125466	0.34102118493721467	0.45874995212709757	0.4230072980267654	0.43144374750100234	0.37722973449260927	0.3654870779789695	0.3311319537908417	0.4066885942584568	0.417085148827928	0.3780040071112297	0.3187297074211416	0.3720115201208891	0.3595546249645485	0.36589772769769585	0.4444750865341735	0.3256533600334728	0.42578490613792785	0.2830685471202135	0.40313286922132463	0.32010803488019257	0.34122910168729215
S17H1	0.3423420440623219	0.37575776821626583	0.34210489893920554	0.4020625169688802	0.4010730504816423	0.4256077321757851	0.32787492875774915	0.37102831372577894	0.3653799712242587	0.49742115840427537	0.3993469286869539	0.3284700732118087	0.34356513172536907	0.4310492046768618	0.42962488481969924	0.0	0.26870353671850516	0.2859459569659165	0.3503828740549851	0.3948798909760044	0.4145340908186067	0.3455647480245667	0.4632935152144496	0.42755086111411744	0.4359873105883544	0.3817732975799613	0.37003064106632155	0.33567551687819375	0.41123215734580887	0.42162871191528006	0.38254757019858177	0.32327327050849364	0.37655508320824116	0.36409818805190053	0.3704412907850479	0.44901864962152555	0.3441209958882713	0.44425254199272635	0.301536182975012	0.4216005050761231	0.33857567073499106	0.35969673754209064
S16H2	0.21339765597420157	0.2468133801281455	0.2131605108510852	0.27311812888075987	0.27212866239352196	0.2966633440876648	0.19893054066962884	0.24208392563765863	0.23643558313613836	0.368476770316155	0.2704025405988335	0.19952568512368837	0.21462074363724873	0.30210481658874144	0.30068049673157893	0.26870353671850516	0.0	0.14493757057684975	0.22143848596686472	0.26593550288788403	0.28558970273048634	0.2166203599364464	0.33434912712632925	0.2986064730259971	0.307042922500234	0.25282890949184095	0.2410862529782012	0.20673112879007344	0.2822877692576885	0.2926843238271597	0.2536031821104614	0.19432888242037327	0.24761069512012085	0.23515379996378022	0.24149690269692753	0.3200742615334052	0.2151766078001509	0.31530815390460604	0.17259179488689166	0.2926561169880028	0.20963128264687075	0.2307523494539703
S21H1	0.23064007622161287	0.2640558003755568	0.23040293109849652	0.2903605491281712	0.2893710826409333	0.3139057643350761	0.2161729609170402	0.25932634588507	0.2536780033835497	0.38571919056356635	0.28764496084624486	0.2167681053710997	0.23186316388466005	0.3193472368361528	0.3179229169789902	0.2859459569659165	0.14493757057684975	0.0	0.23868090621427607	0.2831779231352954	0.30283212297789763	0.23386278018385773	0.35159154737374054	0.3158488932734084	0.3242853427476453	0.2700713297392523	0.25832867322561254	0.22397354903748476	0.29953018950509985	0.30992674407457105	0.2708456023578727	0.21157130266778462	0.2648531153675322	0.25239622021119157	0.2587393229443389	0.33731668178081653	0.23241902804756223	0.3325505741520174	0.18983421513430299	0.30989853723541416	0.22687370289428205	0.2479947697013816
S28Hp	0.2585564702102557	0.29197219436419963	0.25831932508713934	0.318276943116814	0.3172874766295761	0.3418221583237189	0.24408935490568298	0.28724273987371274	0.2815943973721925	0.41363558455220917	0.3155613548348877	0.2446844993597425	0.25977955787330287	0.3472636308247956	0.34583931096763304	0.3503828740549851	0.22143848596686472	0.23868090621427607	0.0	0.07079828336131422	0.0904524832039165	0.0698841276594567	0.29806725257389166	0.30239230767158204	0.3108287571458189	0.2566147441374259	0.24487208762378615	0.21051696343565834	0.28607360390327347	0.29647015847274466	0.2838266274308301	0.22455232774074202	0.2778341404404896	0.26537724528414897	0.2717203480172963	0.3502977068537739	0.2603354220362051	0.36046696814066015	0.2177506091229458	0.3378149312240569	0.25479009688292487	0.27591116369002444
S31Hp	0.303053487131275	0.33646921128521895	0.30281634200815866	0.36277396003783335	0.36178449355059544	0.38631917524473824	0.2885863718267023	0.3317397567947321	0.3260914142932118	0.45813260147322843	0.360058371755907	0.28918151628076183	0.3042765747943222	0.3917606477458149	0.39033632788865236	0.3948798909760044	0.26593550288788403	0.2831779231352954	0.07079828336131422	0.0	0.11918493941235606	0.11438114458047605	0.34256426949491103	0.34688932459260136	0.3553257740668383	0.3011117610584452	0.28936910454480547	0.25501398035667766	0.3305706208242928	0.340967175393764	0.32832364435184946	0.26904934466176134	0.32233115736150886	0.3098742622051682	0.3162173649383156	0.39479472377479324	0.30483243895722434	0.4049639850616795	0.2622476260439651	0.3823119481450763	0.2992871138039442	0.3204081806110437
