	f4pp	f7pp	w19pp	w26pp	w17pp	w10pp	f23ppB	w31pp	f16ppA	f25pp	w28pp	w1pp	w14pp	w23pp	S9H1	w16pp	w24pp	f24pp	f12ppA	f12ppB	w27pp	w22pp	f10pp	f17ppB	f20ppA	w20pp	f6ppA	w29pp	w8pp	f15pp	f11pp	w11pp	S3Hp	f2pp
f17ppB	0.28665241654953644	0.2868454256993227	0.37954830139688434	0.3283409304743472	0.31156864791597927	0.28467645142543907	0.26231412658581116	0.3184662355742484	0.28148410255596534	0.31019856300526616	0.32067019424277843	0.36871477965226496	0.38039292743442765	0.3884965501096304	0.4445108713199269	0.24971392306330317	0.22962654694081874	0.1992064325513589	0.26042748404873106	0.24869002102583265	0.2659994640458672	0.2924206347682569	0.08590660317535181	0.0	0.31538273523194255	0.3635661900502092	0.35408895493659687	0.33570684985331334	0.3670393403524481	0.33600276665074824	0.36549128409782217	0.37561085593215826	0.41427696155368066	0.3387990876894168
f20ppA	0.38407765916579334	0.38427066831557954	0.4769735440131413	0.4257661730906041	0.40899389053223617	0.38210169404169597	0.35973936920206806	0.4158914781905053	0.3789093451722223	0.4076238056215231	0.4180954368590354	0.46614002226852186	0.4778181700506846	0.4859217927258873	0.5419361139361838	0.3471391656795601	0.3270517895570757	0.2966316751676158	0.41725669269296756	0.40551922967006915	0.4228286726901037	0.4492498434124934	0.2917704879045504	0.31538273523194255	0.0	0.07610506821651866	0.0666278331029063	0.35988163367866277	0.39121412417779755	0.4334280092670052	0.4629165267140791	0.47303609854841516	0.5117022041699375	0.43622433030567376
w20pp	0.43226111398406	0.43245412313384624	0.5251569988314079	0.47394962790887074	0.4571773453505028	0.4302851488599626	0.4079228240203347	0.46407493300877195	0.4270927999904889	0.4558072604397897	0.46627889167730197	0.5143234770867885	0.5260016248689512	0.5341052475441539	0.5901195687544505	0.39532262049782674	0.3752352443753423	0.34481512998588243	0.4654401475112342	0.4537026844883358	0.4710121275083704	0.49743329823076005	0.33995394272281704	0.3635661900502092	0.07610506821651866	0.0	0.04063778535838146	0.40806508849692946	0.43939757899606424	0.48161146408527183	0.5110999815323458	0.5212195533666818	0.5598856589882042	0.4844077851239404
f6ppA	0.42278387887044766	0.4229768880202339	0.5156797637177956	0.4644723927952584	0.4477001102368905	0.4208079137463503	0.3984455889067224	0.45459769789515964	0.41761556487687657	0.4463300253261774	0.45680165656368965	0.5048462419731762	0.5165243897553389	0.5246280124305416	0.5806423336408382	0.3858453853842144	0.36575800926172997	0.3353378948722701	0.4559629123976219	0.44422544937472347	0.4615348923947581	0.48795606311714773	0.3304767076092047	0.35408895493659687	0.0666278331029063	0.04063778535838146	0.0	0.39858785338331715	0.4299203438824519	0.4721342289716595	0.5016227464187335	0.5117423182530695	0.5504084238745919	0.4749305500103281
w29pp	0.40440177378716413	0.4045947829369504	0.49729765863451203	0.4460902877119749	0.42931800515360696	0.40242580866306676	0.3800634838234389	0.43621559281187616	0.39923345979359304	0.4279479202428939	0.4384195514804061	0.48646413688989265	0.49814228467205535	0.5062459073472582	0.5622602285575546	0.3674632803009309	0.34737590417844644	0.3169557897889866	0.43758080731433835	0.42584334429143994	0.44315278731147456	0.4695739580338642	0.3120946025259212	0.33570684985331334	0.35988163367866277	0.40806508849692946	0.39858785338331715	0.0	0.31295342227627043	0.453752123888376	0.4832406413354499	0.49336021316978595	0.5320263187913084	0.45654844492704455
w8pp	0.4357342642862989	0.43592727343608517	0.5286301491336468	0.4774227782111097	0.46065049565274174	0.43375829916220154	0.41139597432257363	0.4675480833110109	0.4305659502927278	0.45928041074202863	0.4697520419795409	0.5177966273890274	0.5294747751711901	0.5375783978463928	0.5935927190566894	0.3987957708000657	0.3787083946775812	0.34828828028812137	0.46891329781347313	0.4571758347905747	0.47448527781060934	0.500906448532999	0.343427093025056	0.3670393403524481	0.39121412417779755	0.43939757899606424	0.4299203438824519	0.31295342227627043	0.0	0.48508461438751077	0.5145731318345848	0.5246927036689207	0.5633588092904431	0.48788093542617933
f15pp	0.29334305357724	0.32358839019567753	0.4162912658932392	0.36508389497070204	0.3483116124123341	0.3214194159217939	0.3410714888624624	0.39722359785089967	0.36024146483261654	0.38895592528191736	0.3994275565194296	0.44747214192891616	0.4591502897110789	0.46725391238628167	0.5232682335965781	0.3284712853399544	0.30838390921746994	0.2779637948280101	0.4378767241117733	0.4261392610888749	0.4434487041089095	0.46986987483129916	0.31239051932335615	0.33600276665074824	0.4334280092670052	0.48161146408527183	0.4721342289716595	0.453752123888376	0.48508461438751077	0.0	0.2353558771103405	0.24547544894467654	0.34796509543280013	0.32481829946303487
f11pp	0.3228315710243139	0.35307690764275146	0.44577978334031315	0.39457241241777596	0.37780012985940803	0.35090793336886783	0.37056000630953634	0.4267121152979736	0.38972998227969047	0.4184444427289913	0.42891607396650355	0.4769606593759901	0.48863880715815283	0.4967424298333556	0.5527567510436521	0.3579598027870283	0.33787242666454387	0.307452312275084	0.46736524155884723	0.4556277785359488	0.47293722155598344	0.4993583922783731	0.3418790367704301	0.36549128409782217	0.4629165267140791	0.5110999815323458	0.5016227464187335	0.4832406413354499	0.5145731318345848	0.2353558771103405	0.0	0.1954376066809942	0.37745361287987406	0.3543068169101088
w11pp	0.3329511428586499	0.3631964794770875	0.4558993551746492	0.40469198425211206	0.3879197016937441	0.3610275052032039	0.3806795781438723	0.4368316871323096	0.39984955411402656	0.4285640145633274	0.43903564580083965	0.4870802312103261	0.49875837899248887	0.5068620016676917	0.5628763228779881	0.3680793746213643	0.34799199849887996	0.31757188410942006	0.47748481339318327	0.46574735037028486	0.4830567933903195	0.5094779641127092	0.3519986086047661	0.37561085593215826	0.47303609854841516	0.5212195533666818	0.5117423182530695	0.49336021316978595	0.5246927036689207	0.24547544894467654	0.1954376066809942	0.0	0.3875731847142101	0.36442638874444483
S3Hp	0.3716172484801723	0.4018625850986099	0.4945654607961716	0.44335808987363445	0.4265858073152665	0.3996936108247263	0.4193456837653947	0.47549779275383197	0.43851565973554896	0.4672301201848498	0.47770175142236204	0.5257463368318485	0.5374244846140113	0.545528107289214	0.6015424284995106	0.4067454802428867	0.38665810412040236	0.35623798973094245	0.5161509190147057	0.5044134559918072	0.5217228990118419	0.5481440697342315	0.3906647142262885	0.41427696155368066	0.5117022041699375	0.5598856589882042	0.5504084238745919	0.5320263187913084	0.5633588092904431	0.34796509543280013	0.37745361287987406	0.3875731847142101	0.0	0.4030924943659672
