	F7H1	S17H1	S4Hp	S18H1	S21H1	S20H1	F22HpB	S12Hp	F3H1	S16H2	31300	S6Hp	530055	f8pp	f21pp	w1pp	f1pp	f26pp	w14pp	w19pp	f14ppA	f10pp	f2pp	w16pp	f13pp	w4pp	f4pp	w3pp	f12ppA	S9H1	31452	S15Hp
S6Hp	0.5813170448524885	0.5858330756509676	0.5776963346828441	0.5798558267881359	0.5757984471031784	0.5694751031282286	0.5730777459179377	0.5008721975179717	0.5837386938064222	0.5822599368215537	0.19483412694409846	0.0	0.1264506701849762	0.6177836501412493	0.6280632293297598	0.6560619521076939	0.6355615497882428	0.6387621990098422	0.6471833513276547	0.6400090728768624	0.6284628125301508	0.6147515752421644	0.628751783014652	0.626105266244107	0.6147050660658349	0.6436047289385003	0.6351291976118768	0.6314328382476369	0.6090910953407357	0.5396929847789917	0.5565716021983358	0.5648618727852035
530055	0.5259629837088594	0.5304790145073386	0.5223422735392151	0.5245017656445069	0.5204443859595494	0.5141210419845996	0.5177236847743087	0.44551813637434273	0.5283846326627932	0.5269058756779248	0.1394800658004695	0.1264506701849762	0.0	0.5624295889976202	0.5727091681861307	0.6007078909640649	0.5802074886446138	0.5834081378662132	0.5918292901840256	0.5846550117332333	0.5731087513865218	0.5593975140985354	0.5733977218710229	0.5707512051004779	0.5593510049222058	0.5882506677948713	0.5797751364682477	0.5760787771040079	0.5537370341971066	0.4843389236353628	0.5012175410547068	0.5095078116415744
f8pp	0.39061863001653513	0.39513466081501436	0.3869979198468908	0.38915741195218256	0.3851000322672251	0.37877668829227534	0.3823793310819844	0.31017378268201845	0.3930402789704689	0.3915615219856005	0.5227630828580516	0.6177836501412493	0.5624295889976202	0.0	0.020627853868479873	0.05192560771271739	0.03142520539326622	0.03462585461486564	0.04304700693267815	0.04659184858581624	0.03504558823910474	0.026306004844517956	0.040306212617005524	0.037659695846460575	0.03515409837058458	0.06405376124325007	0.055578229916626615	0.05188187055238666	0.045590805995891916	0.3489945699430385	0.36587318736238256	0.37416345794925016
f21pp	0.4008982092050457	0.40541424000352494	0.39727749903540144	0.3994369911406932	0.39537961145573575	0.3890562674807859	0.392658910270495	0.32045336187052903	0.40331985815897947	0.4018411011741111	0.5330426620465623	0.6280632293297598	0.5727091681861307	0.020627853868479873	0.0	0.062205186901227956	0.04170478458177679	0.04490543380337621	0.053326586121188714	0.056871427774326806	0.045325167427615304	0.03658558403302852	0.05058579180551609	0.04793927503497114	0.045433677559095144	0.07433334043176064	0.06585780910513718	0.062161449740897226	0.05587038518440248	0.3592741491315491	0.37615276655089314	0.38444303713776073
w1pp	0.4288969319829799	0.43341296278145913	0.4252762218133356	0.42743571391862734	0.4233783342336699	0.4170549902587201	0.4206576330484292	0.3484520846484632	0.43131858093691366	0.4298398239520453	0.5610413848244964	0.6560619521076939	0.6007078909640649	0.05192560771271739	0.062205186901227956	0.0	0.03562324820263404	0.060444692120063676	0.06886584443787619	0.08487015055226099	0.0733238902055495	0.06458430681096271	0.07858451458345028	0.07593799781290533	0.07343240033702933	0.10233206320969482	0.09385653188307136	0.0901601725188314	0.08386910796233665	0.38727287190948323	0.40415148932882733	0.4124417599156949
f1pp	0.40839652966352874	0.41291256046200797	0.4047758194938844	0.4069353115991762	0.4028779319142187	0.39655458793926895	0.400157230728978	0.32795168232901206	0.4108181786174625	0.4093394216325941	0.5405409825050452	0.6355615497882428	0.5802074886446138	0.03142520539326622	0.04170478458177679	0.03562324820263404	0.0	0.03994428980061251	0.048365442118425014	0.06436974823280983	0.05282348788609832	0.04408390449151154	0.05808411226399911	0.05543759549345416	0.05293199801757817	0.08183166089024366	0.0733561295636202	0.06965977019938024	0.06336870564288549	0.36677246959003207	0.38365108700937617	0.39194135759624377
f26pp	0.41159717888512815	0.4161132096836074	0.4079764687154839	0.41013596082077564	0.4060785811358182	0.39975523716086836	0.4033578799505774	0.33115233155061147	0.4140188278390619	0.41254007085419353	0.5437416317266447	0.6387621990098422	0.5834081378662132	0.03462585461486564	0.04490543380337621	0.060444692120063676	0.03994428980061251	0.0	0.04750382842428669	0.06757039745440924	0.05602413710769774	0.04728455371311096	0.06128476148559853	0.05863824471505358	0.05613264723917759	0.08503231011184309	0.07655677878521962	0.07286041942097968	0.06656935486448493	0.36997311881163153	0.3868517362309756	0.39514200681784317
w14pp	0.4200183312029407	0.4245343620014199	0.41639762103329636	0.4185571131385881	0.41449973345363067	0.4081763894786809	0.41177903226838997	0.339573483868424	0.42243998015687445	0.42096122317200607	0.5521627840444572	0.6471833513276547	0.5918292901840256	0.04304700693267815	0.053326586121188714	0.06886584443787619	0.048365442118425014	0.04750382842428669	0.0	0.07599154977222175	0.06444528942551025	0.055705706030923466	0.06970591380341104	0.06705939703286609	0.06455379955699009	0.09345346242965558	0.08497793110303212	0.08128157173879216	0.07499050718229741	0.378394271129444	0.3952728885487881	0.4035631591356557
w19pp	0.4128440527521483	0.41736008355062754	0.40922334258250403	0.4113828346877958	0.40732545500283834	0.4010021110278885	0.4046047538175976	0.3323992054176316	0.41526570170608207	0.4137869447212137	0.5449885055936647	0.6400090728768624	0.5846550117332333	0.04659184858581624	0.056871427774326806	0.08487015055226099	0.06436974823280983	0.06757039745440924	0.07599154977222175	0.0	0.04784242103027435	0.0485314275801311	0.06253163535261866	0.05988511858207372	0.05737952110619772	0.08627918397886322	0.07780365265223975	0.07410729328799981	0.06781622873150506	0.3712199926786517	0.38809861009799573	0.39638888068486333
f14ppA	0.4012977924054368	0.405813823203916	0.39767708223579246	0.3998365743410842	0.39577919465612676	0.389455850681177	0.39305849347088606	0.3208529450709201	0.40371944135937055	0.40224068437450217	0.5334422452469533	0.6284628125301508	0.5731087513865218	0.03504558823910474	0.045325167427615304	0.0733238902055495	0.05282348788609832	0.05602413710769774	0.06444528942551025	0.04784242103027435	0.0	0.0369851672334196	0.05098537500590716	0.048338858235362214	0.045833260759486225	0.07473292363215173	0.06625739230552825	0.06256103294128831	0.056269968384793555	0.3596737323319401	0.3765523497512842	0.3848426203381518
