	F32H1	S22Hp	S10H1	S26Hp	S7Hp	s14pp	s24pp	s1pp	s25pp	s28pp	s23pp	s17pp	S1Hp	S19H1	S12Hp	F7H1	S6Hp	F14H1A	S25Hp	F8H1	S31Hp	S13Hp	F29H1	S17H1	S9H1	S29H1	S21H1	S3Hp	S20H1	s24H1	S4Hp	F6H1	S28Hp	S8Hp	S11Hp	F23HpA	S2Hp	530394	F14H1B	S15Hp	F1H1
S31Hp	0.5279009740676458	0.520254598511445	0.4639566432830295	0.20899426075019806	0.2407524992996448	0.6341415406930218	0.6395307181399467	0.6409556264655074	0.580906707305008	0.6343970697245834	0.5984339642900037	0.5650742785802203	0.2444418600483676	0.1709085676394858	0.23016447386274475	0.20411240608849074	0.11509688655965811	0.11522972927200364	0.0539875144002874	0.15303993324749768	0.0	0.11891196460945397	0.11960115301709522	0.19551296395375412	0.12646329962592132	0.21491706344566644	0.27849920249864646	0.21651008659569246	0.16694829915421533	0.20091415195764448	0.2687584560232116	0.23763354583678234	0.20668436020462014	0.31336319501804505	0.23292591012565667	0.21493932759468845	0.3284617597121957	0.5299076469491487	0.5410583952035561	0.5353259386792625	0.6509537858835825
S13Hp	0.6084356812381595	0.6007893056819587	0.5444913504535432	0.2895289679207118	0.32128720647015857	0.7146762478635356	0.7200654253104605	0.7214903336360212	0.6614414144755218	0.7149317768950972	0.6789686714605175	0.6456089857507341	0.3249765672188814	0.2514432748099996	0.31069918103325855	0.28464711325900455	0.19563159373017192	0.19576443644251745	0.1345222215708012	0.23357464041801151	0.11891196460945397	0.0	0.17045204130595232	0.2463638522426112	0.17731418791477843	0.2954517706161802	0.35903390966916027	0.2970447937662063	0.24748300632472914	0.2814488591281583	0.3492931631937254	0.3181682530072961	0.2872190673751339	0.39389790218855886	0.3134606172961705	0.29547403476520223	0.4089964668827095	0.6104423541196624	0.62159310237407	0.6158606458497762	0.7314884930540964
F29H1	0.6091248696458009	0.6014784940896001	0.5451805388611846	0.2902181563283531	0.32197639487779983	0.7153654362711768	0.7207546137181017	0.7221795220436624	0.662130602883163	0.7156209653027384	0.6796578598681587	0.6462981741583753	0.32566575562652267	0.2521324632176408	0.31138836944089976	0.2853363016666458	0.19632078213781318	0.19645362485015871	0.13521140997844247	0.23426382882565275	0.11960115301709522	0.17045204130595232	0.0	0.21054024205978755	0.16101688264803993	0.29614095902382154	0.3597230980768015	0.2977339821738475	0.2481721947323704	0.2821380475357995	0.3499823516013666	0.31885744141493744	0.28790825578277524	0.3945870905962001	0.31414980570381174	0.29616322317284355	0.40968565529035084	0.6111315425273038	0.6222822907817114	0.6165498342574176	0.7321776814617378
S17H1	0.6850366805824597	0.6773903050262589	0.6210923497978434	0.366129967265012	0.3978882058144587	0.7912772472078358	0.7966664246547606	0.7980913329803214	0.738042413819822	0.7915327762393973	0.7555696708048176	0.7222099850950343	0.40157756656318155	0.3280442741542997	0.38730018037755864	0.3612481126033047	0.27223259307447206	0.2723654357868176	0.21112322091510138	0.31017563976231166	0.19551296395375412	0.2463638522426112	0.21054024205978755	0.0	0.2369286935846988	0.3720527699604804	0.43563490901346036	0.3736457931105064	0.3240840056690293	0.3580498584724584	0.4258941625380255	0.3947692523515963	0.3638200667194341	0.470498901532859	0.3900616166404706	0.37207503410950243	0.4855974662270097	0.6870433534639626	0.6981941017183702	0.6924616451940764	0.8080894923983966
S9H1	0.615987016254627	0.6083406406984262	0.5520426854700107	0.29708030293717924	0.32883854148662595	0.7222275828800029	0.7276167603269278	0.7290416686524885	0.6689927494919892	0.7224831119115646	0.6865200064769849	0.6531603207672014	0.3325279022353488	0.25899460982646694	0.3182505160497259	0.2921984482754719	0.20318292874663926	0.20331577145898483	0.14207355658726858	0.24112597543447886	0.12646329962592132	0.17731418791477843	0.16101688264803993	0.2369286935846988	0.0	0.3030031056326476	0.3665852446856276	0.3045961287826736	0.2550343413411965	0.28900019414462563	0.3568444982101927	0.3257195880237635	0.2947704023916013	0.40144923720502623	0.32101195231263785	0.30302536978166966	0.41654780189917695	0.61799368913613	0.6291444373905375	0.6234119808662437	0.7390398280705639
S29H1	0.5930470138824142	0.5854006383262134	0.529102683097798	0.2741403005649665	0.3058985391144133	0.6992875805077903	0.7046767579547152	0.7061016662802759	0.6460527471197766	0.699543109539352	0.6635800041047722	0.6302203183949888	0.3095878998631361	0.261340334999113	0.32059624122237196	0.294544173448118	0.21706137474939768	0.2427487567944847	0.19954820116292438	0.30215147367041234	0.21491706344566644	0.2954517706161802	0.29614095902382154	0.3720527699604804	0.3030031056326476	0.0	0.21335921807187558	0.1513701021689216	0.1187890642844662	0.2008951658016726	0.2687394698672397	0.23761455968081047	0.20666537404864826	0.37850923483281357	0.2980719499404252	0.28008536740945694	0.39360779952696423	0.5950536867639171	0.6062044350183247	0.6004719784940309	0.7160998256983511
S21H1	0.6566291529353943	0.6489827773791934	0.592684822150778	0.33772243961794657	0.3694806781673933	0.7628697195607703	0.7682588970076951	0.769683805333256	0.7096348861727566	0.7631252485923319	0.7271621431577522	0.6938024574479689	0.3731700389161161	0.324922474052093	0.38417838027535195	0.35812631250109794	0.2806435138023777	0.3063308958474647	0.26313034021590437	0.36573361272339233	0.27849920249864646	0.35903390966916027	0.3597230980768015	0.43563490901346036	0.3665852446856276	0.21335921807187558	0.0	0.15529960550147293	0.1823712033374462	0.2644773048546526	0.33232160892021967	0.30119669873379046	0.27024751310162826	0.44209137388579356	0.3616540889934052	0.343667506462437	0.4571899385799443	0.6586358258168972	0.6697865740713047	0.6640541175470109	0.7796819647513311
S3Hp	0.5946400370324403	0.5869936614762394	0.530695706247824	0.2757333237149926	0.3074915622644393	0.7008806036578162	0.7062697811047411	0.7076946894303019	0.6476457702698025	0.7011361326893779	0.6651730272547982	0.6318133415450148	0.31118092301316214	0.26293335814913904	0.322189264372398	0.29613719659814397	0.2186543978994237	0.24434177994451073	0.2011412243129504	0.30374449682043836	0.21651008659569246	0.2970447937662063	0.2977339821738475	0.3736457931105064	0.3045961287826736	0.1513701021689216	0.15529960550147293	0.0	0.12038208743449222	0.20248818895169862	0.2703324930172657	0.23920758283083648	0.20825839719867428	0.3801022579828396	0.2996649730904512	0.281678390559483	0.3952008226769903	0.5966467099139432	0.6077974581683507	0.602065001644057	0.7176928488483771
S20H1	0.5450782495909632	0.5374318740347623	0.48113391880634687	0.22617153627351544	0.2579297748229622	0.6513188162163391	0.656707993663264	0.6581329019888248	0.5980839828283254	0.6515743452479008	0.6156112398133211	0.5822515541035377	0.261619135571685	0.21337157070766188	0.2726274769309208	0.24657540915666687	0.1690926104579466	0.1947799925030336	0.15157943687147324	0.25418270937896126	0.16694829915421533	0.24748300632472914	0.2481721947323704	0.3240840056690293	0.2550343413411965	0.1187890642844662	0.1823712033374462	0.12038208743449222	0.0	0.15292640151022152	0.22077070557578857	0.18964579538935936	0.15869660975719715	0.33054047054136243	0.25010318564897405	0.23211660311800583	0.3456390352355131	0.5470849224724661	0.5582356707268736	0.5525032142025799	0.6681310614069
s24H1	0.5790441023943922	0.5713977268381913	0.5150997716097759	0.2601373890769446	0.2918956276263913	0.6852846690197683	0.6906738464666932	0.6920987547922539	0.6320498356317545	0.6855401980513299	0.6495770926167502	0.6162174069069668	0.29558498837511415	0.24733742351109106	0.30659332973435	0.280541261960096	0.20305846326137572	0.22874584530646275	0.1855452896749024	0.2881485621823904	0.20091415195764448	0.2814488591281583	0.2821380475357995	0.3580498584724584	0.28900019414462563	0.2008951658016726	0.2644773048546526	0.20248818895169862	0.15292640151022152	0.0	0.23567329905867362	0.2045483888722444	0.1735992032400822	0.3645063233447916	0.2840690384524032	0.266082455921435	0.37960488803894227	0.5810507752758951	0.5922015235303026	0.5864690670060089	0.702096914210329
S4Hp	0.6468884064599594	0.6392420309037585	0.5829440756753431	0.3279816931425117	0.3597399316919584	0.7531289730853353	0.7585181505322602	0.759943058857821	0.6998941396973216	0.753384502116897	0.7174213966823173	0.6840617109725339	0.36342929244068123	0.31518172757665813	0.37443763379991707	0.34838556602566306	0.2709027673269428	0.2965901493720298	0.2533895937404695	0.35599286624795745	0.2687584560232116	0.3492931631937254	0.3499823516013666	0.4258941625380255	0.3568444982101927	0.2687394698672397	0.33232160892021967	0.2703324930172657	0.22077070557578857	0.23567329905867362	0.0	0.2186834860310862	0.187734300398924	0.4323506274103587	0.3519133425179703	0.3339267599870021	0.4474491921045094	0.6488950793414623	0.6600458275958698	0.654313371071576	0.7699412182758962
F6H1	0.6157634962735301	0.6081171207173293	0.5518191654889139	0.2968567829560824	0.3286150215055292	0.7220040628989062	0.7273932403458311	0.7288181486713918	0.6687692295108925	0.7222595919304678	0.6862964864958881	0.6529368007861047	0.332304382254252	0.2840568173902289	0.34331272361348786	0.3172606558392339	0.23977785714051358	0.2654652391856006	0.22226468355404028	0.32486795606152824	0.23763354583678234	0.3181682530072961	0.31885744141493744	0.3947692523515963	0.3257195880237635	0.23761455968081047	0.30119669873379046	0.23920758283083648	0.18964579538935936	0.2045483888722444	0.2186834860310862	0.0	0.13317607922581753	0.40122571722392947	0.3207884323315411	0.30280184980057284	0.41632428191808013	0.617770169155033	0.6289209174094406	0.6231884608851468	0.738816308089467
S28Hp	0.5848143106413679	0.5771679350851671	0.5208699798567517	0.2659075973239202	0.297665835873367	0.691054877266744	0.6964440547136689	0.6978689630392296	0.6378200438787303	0.6913104062983056	0.655347300863726	0.6219876151539425	0.3013551966220898	0.2531076317580667	0.31236353798132566	0.2863114702070717	0.20882867150835138	0.2345160535534384	0.19131549792187807	0.29391877042936604	0.20668436020462014	0.2872190673751339	0.28790825578277524	0.3638200667194341	0.2947704023916013	0.20666537404864826	0.27024751310162826	0.20825839719867428	0.15869660975719715	0.1735992032400822	0.187734300398924	0.13317607922581753	0.0	0.37027653159176727	0.2898392466993789	0.27185266416841064	0.38537509628591793	0.5868209835228708	0.5979717317772784	0.5922392752529846	0.7078671224573048
S8Hp	0.6638358450786674	0.6561894695224666	0.5998915142940511	0.34492913176121964	0.37668737031066635	0.7700764117040433	0.7754655891509683	0.7768904974765289	0.7168415783160296	0.7703319407356051	0.7343688353010254	0.7010091495912418	0.3803767310593892	0.3597864665714916	0.4190423727947506	0.3929903050204966	0.3155075063217763	0.34119488836686335	0.29799433273530296	0.400597605242791	0.31336319501804505	0.39389790218855886	0.3945870905962001	0.470498901532859	0.40144923720502623	0.37850923483281357	0.44209137388579356	0.3801022579828396	0.33054047054136243	0.3645063233447916	0.4323506274103587	0.40122571722392947	0.37027653159176727	0.0	0.24091055185629345	0.35087419860571006	0.46439663072321735	0.6658425179601704	0.6769932662145779	0.6712608096902841	0.7868886568946043
