	f23ppA	f8pp	w8pp	f12ppA	f13pp	S9H1	w1pp	S14Hp	w14pp	f24pp	w23pp	S18H1	f18pp	w3pp	S1Hp	f6ppA	f6ppB	w13pp	w28pp	f2pp	f4pp	f1pp	F8H1	f30pp	f28pp	f11pp	f14ppA	F22HpB	f10pp	f21pp	f31pp
f4pp	0.27720674794016387	0.20655650785148955	0.29991346888878895	0.23107288722329666	0.34264724272812735	0.4316265210436547	0.3657902267440319	0.4023365768259551	0.39632207294978095	0.317917465463146	0.36311711470038005	0.3205963644996512	0.3014267638128269	0.3331949045077409	0.3125863313121048	0.2798477917013135	0.3016009371717708	0.22187456976720382	0.27920110103629203	0.2159003620923873	0.0	0.23725586459127088	0.3985685422271139	0.274828006007528	0.26195636848498327	0.3350990158309579	0.3017662814616636	0.400606911354105	0.2741513685360879	0.25098986724173383	0.2694229734970536
f1pp	0.26271358030954445	0.2085220732476195	0.3018790342849189	0.23303845261942663	0.3446128081242573	0.43359208643978464	0.36775579214016185	0.40430214222208505	0.3982876383459109	0.31988303085927594	0.36508268009651	0.32256192989578114	0.30339232920895687	0.33516046990387083	0.3145518967082347	0.2818133570974435	0.30356650256790074	0.2238401351633338	0.3305376390799205	0.26723690013601575	0.23725586459127088	0.0	0.3717538678953579	0.248013331675772	0.23514169415322728	0.3206058482003385	0.2872731138310442	0.38611374372348556	0.2596582009054685	0.2364966996111144	0.25492980586643416
F8H1	0.4240262579453874	0.3698347508834625	0.4631917119207619	0.39435113025526963	0.5059254857601003	0.5949047640756276	0.5290684697760049	0.565614819857928	0.559600315981754	0.48119570849511895	0.526395357732353	0.48387460753162415	0.4647050068447999	0.49647314753971383	0.4758645743440777	0.4431260347332865	0.46487918020374375	0.3851528127991768	0.4918503167157635	0.42854957777185876	0.3985685422271139	0.3717538678953579	0.0	0.38772426023648376	0.37485262271393904	0.4819185258361815	0.4485857914668872	0.5474264213593285	0.4209708785413115	0.3978093772469574	0.4162424835022771
f30pp	0.30028572172580154	0.2460942146638766	0.339451175701176	0.2706105940356837	0.3821849495405144	0.47116422785604173	0.40532793355641894	0.44187428363834214	0.435859779762168	0.35745517227553303	0.4026548215127671	0.36013407131203823	0.34096447062521396	0.3727326113201279	0.3521240381244918	0.31938549851370057	0.34113864398415783	0.2614122765795909	0.3681097804961776	0.30480904155227284	0.274828006007528	0.248013331675772	0.38772426023648376	0.0	0.23945239459063755	0.3581779896165956	0.3248452552473013	0.42368588513974265	0.29723034232172557	0.2740688410273715	0.29250194728269124
f28pp	0.2874140842032568	0.23322257714133188	0.3265795381786313	0.257738956513139	0.3693133120179697	0.458292590333497	0.3924562960338742	0.4290026461157974	0.4229881422396233	0.3445835347529883	0.3897831839902224	0.3472624337894935	0.32809283310266923	0.3598609737975832	0.33925240060194706	0.30651386099115585	0.3282670064616131	0.24854063905704615	0.3552381429736329	0.2919374040297281	0.26195636848498327	0.23514169415322728	0.37485262271393904	0.23945239459063755	0.0	0.34530635209405086	0.31197361772475657	0.4108142476171979	0.28435870479918085	0.2611972035048268	0.2796303097601465
f11pp	0.31880789676069043	0.3063652244873066	0.3997221855246059	0.3308816038591137	0.4424559593639444	0.5314352376794718	0.4655989433798489	0.5021452934617721	0.496130789585598	0.417726182098963	0.4629258313361971	0.42040508113546815	0.40123548044864393	0.43300362114355795	0.4123950479479218	0.37965650833713055	0.4014096538075878	0.32168328640302085	0.42838079031960763	0.3650800513757029	0.3350990158309579	0.3206058482003385	0.4819185258361815	0.3581779896165956	0.34530635209405086	0.0	0.2365719566821584	0.42878960137808564	0.30233405856006856	0.2925910160622604	0.31102412231758014
f14ppA	0.28547516239139614	0.2730324901180123	0.36638945115531163	0.2975488694898194	0.4091232249946501	0.4981025033101774	0.4322662090105546	0.4688125590924778	0.4627980552163037	0.3843934477296687	0.4295930969669028	0.38707234676617386	0.36790274607934964	0.39967088677426366	0.3790623135786275	0.34632377396783626	0.3680769194382935	0.28835055203372656	0.39504805595031334	0.3317473170064086	0.3017662814616636	0.2872731138310442	0.4485857914668872	0.3248452552473013	0.31197361772475657	0.2365719566821584	0.0	0.39545686700879135	0.26900132419077427	0.2592582816929661	0.27769138794828585
F22HpB	0.38431579228383744	0.37187312001045364	0.465230081047753	0.39638949938226076	0.5079638548870915	0.5969431332026187	0.531106838902996	0.5676531889849192	0.561638685108745	0.48323407762211007	0.5284337268593442	0.4859129766586152	0.466743375971791	0.498511516666705	0.4779029434710689	0.4451644038602776	0.46691754933073487	0.3871911819261679	0.4938886858427547	0.43058794689884994	0.400606911354105	0.38611374372348556	0.5474264213593285	0.42368588513974265	0.4108142476171979	0.42878960137808564	0.39545686700879135	0.0	0.337987801722211	0.35809891158540746	0.3765320178407272
f10pp	0.2578602494658204	0.24541757719243656	0.3387745382297359	0.2699339565642437	0.3815083120690744	0.4704875903846017	0.4046512960849789	0.4411976461669021	0.43518314229072796	0.356778534804093	0.40197818404132707	0.35945743384059814	0.3402878331537739	0.37205597384868794	0.3514474006530518	0.31870886104226054	0.3404620065127178	0.26073563910815084	0.3674331430247376	0.30413240408083286	0.2741513685360879	0.2596582009054685	0.4209708785413115	0.29723034232172557	0.28435870479918085	0.30233405856006856	0.26900132419077427	0.337987801722211	0.0	0.2316433687673904	0.25007647502271013
f21pp	0.19602172044983604	0.2222560758980825	0.31561303693538184	0.2467724552698896	0.3583468107747203	0.4473260890902476	0.38148979479062484	0.41803614487254803	0.4120216409963739	0.3336170335097389	0.378816682746973	0.3362959325462441	0.31712633185941985	0.34889447255433387	0.3282858993586977	0.29554735974790647	0.3173005052183637	0.23757413781379677	0.34427164173038355	0.28097090278647874	0.25098986724173383	0.2364966996111144	0.3978093772469574	0.2740688410273715	0.2611972035048268	0.2925910160622604	0.2592582816929661	0.35809891158540746	0.2316433687673904	0.0	0.18823794600672578
f31pp	0.19672501689038785	0.24068918215340224	0.3340461431907016	0.26520556152520935	0.37677991703004	0.4657591953455673	0.3999229010459445	0.4364692511278677	0.43045474725169364	0.3520501397650586	0.3972497890022927	0.3547290388015638	0.3355594381147396	0.3673275788096536	0.3467190056140175	0.3139804660032262	0.33573361147368347	0.2560072440691165	0.3627047479857033	0.29940400904179854	0.2694229734970536	0.25492980586643416	0.4162424835022771	0.29250194728269124	0.2796303097601465	0.31102412231758014	0.27769138794828585	0.3765320178407272	0.25007647502271013	0.18823794600672578	0.0
