	f14ppB	w14pp	S9H1	w17pp	f22ppA	f6ppA	f1pp	w11pp	f16ppB	w2pp	f2pp	w29pp	S20H1	w3pp	w26pp	f11pp	f32pp	w20pp	w8pp	s8pp	w12pp	f15pp	w9pp	f7pp	f16ppA	w24pp	w10pp	w7pp	w1pp	f14ppA	f9pp	w6pp	w18pp	f24pp	f20ppB	f19pp	w32pp	w16pp	w15pp	w21pp	w19pp
f2pp	0.3309138772665413	0.3523926127181137	0.6133504747252241	0.37854907897918544	0.43883800347114066	0.4808998996585434	0.4853642796091827	0.2493543221522749	0.3346335036832525	0.29238160961864046	0.0	0.3845705092572772	0.6171126239405762	0.4290340332630999	0.33425500804617064	0.4709794526216845	0.42330589054232626	0.26124891164962794	0.3930271200127137	0.5148102504193568	0.4183967847517733	0.4340981003296371	0.42193428573411595	0.3661522958022258	0.415204595837934	0.5299992687790851	0.4042984510992297	0.5154596301669858	0.4539025874491276	0.43207598393427954	0.45635566424433177	0.47668948118281596	0.33391460222103425	0.32620012931882914	0.45626626839699136	0.36462041940112405	0.411686621871912	0.4008989161956049	0.428795687615813	0.46279645629273847	0.3516243672567941
w29pp	0.24735037450156716	0.2688291099531396	0.5297869719602499	0.29498557621421134	0.3552745007061665	0.39733639689356925	0.40180077684420856	0.1702751109794361	0.2792894215129351	0.25551941190997585	0.3845705092572772	0.0	0.5212845239201948	0.3332059332427184	0.2384269080257891	0.375151352601303	0.3397423877773521	0.17768540888465376	0.3094636172477396	0.4312467476543827	0.3348332819867991	0.35053459756466293	0.3383707829691418	0.28258879303725165	0.33164109307295986	0.446435766014111	0.32073494833425553	0.43189612740201166	0.37033908468415344	0.3485124811693054	0.3727921614793576	0.3931259784178418	0.2503510994560601	0.24263662655385498	0.3727027656320172	0.2810569166361499	0.32812311910693787	0.31733541343063076	0.3452321848508389	0.37923295352776437	0.26806086449182
S20H1	0.47989248918486627	0.5013712246364387	0.762329086643549	0.5275276908975104	0.5878166153894656	0.6298785115768684	0.6343428915275077	0.4028172256627352	0.5118315361962342	0.48806152659327495	0.6171126239405762	0.5212845239201948	0.0	0.45580138051408314	0.4063573994350093	0.5924440297173055	0.5722845024606512	0.41022752356795283	0.5420057319310387	0.6637888623376818	0.5673753966700983	0.5830767122479621	0.5709128976524409	0.5151309077205508	0.564183207756259	0.67897788069741	0.5532770630175546	0.6644382420853108	0.6028811993674525	0.5810545958526045	0.6053342761626568	0.6256680931011409	0.4828932141393592	0.4751787412371541	0.6052448803153163	0.513599031319449	0.5606652337902369	0.5498775281139299	0.577774299534138	0.6117750682110634	0.5006029791751191
w3pp	0.2918138985073899	0.3132926339589623	0.5742504959660727	0.33944910022003405	0.39973802471198927	0.44179992089939196	0.44626430085003127	0.21473863498525886	0.3237529455187579	0.2999829359157986	0.4290340332630999	0.3332059332427184	0.45580138051408314	0.0	0.21827880875753297	0.404365439039829	0.38420591178317487	0.2221489328904765	0.3539271412535623	0.4757102716602054	0.37929680599262183	0.39499812157048564	0.3828343069749645	0.3270523170430744	0.37610461707878257	0.4908992900199337	0.3651984723400783	0.47635965140783443	0.41480260868997615	0.3929760051751281	0.4172556854851803	0.4375895024236645	0.2948146234618828	0.2871001505596777	0.41716628963783997	0.3255204406419726	0.3725866431127606	0.3617989374364535	0.3896957088566616	0.4236964775335871	0.3125243884976427
w26pp	0.19703487329046065	0.21851360874203302	0.4794714707491434	0.24467007500310478	0.30495899949506	0.3470208956824627	0.351485275633102	0.11995960976832956	0.22897392030182856	0.20520391069886929	0.33425500804617064	0.2384269080257891	0.4063573994350093	0.21827880875753297	0.0	0.30958641382289975	0.2894268865662456	0.12736990767354722	0.259148116036633	0.38093124644327614	0.28451778077569256	0.30021909635355637	0.28805528175803524	0.23227329182614512	0.2813255918618533	0.39612026480300444	0.270419447123149	0.38158062619090516	0.3200235834730469	0.2981969799581988	0.32247666026825106	0.34281047720673524	0.20003559824495357	0.19232112534274842	0.3223872644209107	0.23074141542504337	0.2778076178958313	0.26701991221952426	0.2949166836397324	0.3289174523166578	0.21774536328071345
f11pp	0.3337593178659745	0.3552380533175469	0.6161959153246572	0.38139451957861864	0.4416834440705739	0.48374534025797655	0.48820972020861586	0.25668405434384345	0.3656983648773425	0.3419283552743832	0.4709794526216845	0.375151352601303	0.5924440297173055	0.404365439039829	0.30958641382289975	0.0	0.42615133114175946	0.2640943522490611	0.39587256061214693	0.51765569101879	0.4212422253512065	0.4369435409290703	0.4247797263335491	0.368997736401659	0.41805003643736716	0.5328447093785184	0.40714389169866294	0.5183050707664191	0.45674802804856074	0.43492142453371274	0.459201104843765	0.4795349217822491	0.33676004282046745	0.32904556991826234	0.45911170899642456	0.36746586000055725	0.4145320624713452	0.4037443567950381	0.4316411282152462	0.46564189689217167	0.3544698078562273
f32pp	0.28608375578561623	0.30756249123718865	0.5685203532442991	0.3337189574982604	0.39400788199021564	0.4360697781776183	0.4405341581282576	0.20901049226448523	0.31802480279798423	0.29425479319502496	0.42330589054232626	0.3397423877773521	0.5722845024606512	0.38420591178317487	0.2894268865662456	0.42615133114175946	0.0	0.21641879016870283	0.34819699853178865	0.4699801289384318	0.3735666632708482	0.389267978848712	0.3771041642531908	0.3213221743213007	0.3703744743570089	0.4851691472981601	0.35946832961830466	0.4706295086860608	0.40907246596820246	0.38724586245335446	0.4115255427634067	0.4318593597018908	0.2890844807401092	0.28137000783790406	0.4114361469160663	0.319790297920199	0.36685650039098694	0.35606879471467984	0.38396556613488797	0.41796633481181344	0.30679424577586906
w20pp	0.10745676845676673	0.12893550390833913	0.38989336591544954	0.1550919701694109	0.21538089466136612	0.2574427908487688	0.2619071707994081	0.04695351337178688	0.15596782390528588	0.1321978143023266	0.26124891164962794	0.17768540888465376	0.41022752356795283	0.2221489328904765	0.12736990767354722	0.2640943522490611	0.21641879016870283	0.0	0.16957001120293913	0.29135314160958226	0.19493967594199868	0.21064099151986249	0.19847717692434136	0.14269518699245123	0.1917474870281594	0.30654215996931056	0.18084134228945514	0.2920025213572113	0.230445478639353	0.20861887512450497	0.2328985554345572	0.25323237237304136	0.11045749341125968	0.10274302050905454	0.2328091595872168	0.14116331059134948	0.18822951306213745	0.17744180738583035	0.20533857880603845	0.23933934748296393	0.12816725844701954
w8pp	0.2086700226984068	0.2301487581499792	0.4911066201570896	0.25630522441105097	0.3165941489030062	0.3586560450904088	0.36312042504104813	0.1787317217348727	0.2877460322683717	0.2639760226654124	0.3930271200127137	0.3094636172477396	0.5420057319310387	0.3539271412535623	0.259148116036633	0.39587256061214693	0.34819699853178865	0.16957001120293913	0.0	0.20927084024829737	0.2738737279840718	0.2895750435619356	0.27741122896641446	0.22162923903452433	0.29296074126979943	0.40775541421095063	0.2820545965310952	0.39321577559885135	0.331658732880993	0.309832129366145	0.33411180967619725	0.3544456266146814	0.21167074765289973	0.2039562747506946	0.33402241382885683	0.24237656483298953	0.2894427673037775	0.2786550616274704	0.3065518330476785	0.340552601724604	0.2293805126886596
s8pp	0.3304531531050499	0.3519318885566223	0.6128897505637327	0.37808835481769404	0.4383772793096493	0.48043917549705195	0.48490355544769126	0.3005148521415158	0.4095291626750148	0.38575915307205555	0.5148102504193568	0.4312467476543827	0.6637888623376818	0.4757102716602054	0.38093124644327614	0.51765569101879	0.4699801289384318	0.29135314160958226	0.20927084024829737	0.0	0.39565685839071496	0.41135817396857877	0.3991943593730576	0.3434123694411675	0.41474387167644255	0.5295385446175938	0.40383772693773834	0.5149989060054945	0.45344186328763614	0.43161525977278814	0.45589494008284037	0.4762287570213245	0.33345387805954285	0.32573940515733774	0.45580554423549996	0.36415969523963265	0.4112258977104206	0.4004381920341135	0.4283349634543216	0.46233573213124707	0.3511636430953027
