	31749	S23Hp	S4Hp	S30H1	F29H1	S21H1	s24H1	31700	F1H1	F3H1	S7Hp	F14H1B	31009	F23HpA	531414	F6H1	F14H1A	S20H1	S11Hp	31452	S6Hp	31333	31219	S9H1	S17H1	F32H1	S15Hp	S12Hp	31300	31328	S19H1
S6Hp	0.3943945117032145	0.3916215374333158	0.3933394448054643	0.4102537147283501	0.4318437439925787	0.402670856841848	0.4122635179021492	0.40136012305813495	0.3777324731910302	0.38852743211677954	0.33114717478367367	0.40547081181850647	0.4072722526383837	0.3976116738576265	0.3909291416013097	0.37748748594229276	0.4000843037702915	0.41819091274425585	0.4237344406342917	0.2556074054344025	0.0	0.3416891662134571	0.34292154977939987	0.35725404799088123	0.3449287696825794	0.38024403562768927	0.35387986618653544	0.32980641721995785	0.3729639747872926	0.37508308405868795	0.37644264336388833
31333	0.4476774533086781	0.4449044790387794	0.4466223864109279	0.4635366563338137	0.4851266855980423	0.4559537984473116	0.4655464595076128	0.45464306466359855	0.4310154147964938	0.44181037372224313	0.38443011638913727	0.45875375342397007	0.4605551942438473	0.4508946154630901	0.4442120832067733	0.43077042754775635	0.4533672453757551	0.47147385434971945	0.4770173822397553	0.3461485432632042	0.3416891662134571	0.0	0.39620449138486347	0.4105369895963448	0.398211711288043	0.4335269772331528	0.4071628077919991	0.3830893588254214	0.42624691639275614	0.42836602566415155	0.42972558496935187
31219	0.4004404342524659	0.3976674599825672	0.3993853673547157	0.4162996372776015	0.4378896665418301	0.4087167793910994	0.4183094404514006	0.40740604560738636	0.3837783957402816	0.39457335466603094	0.3371930973329251	0.4115167343677579	0.4133181751876351	0.4036575964068779	0.3969750641505611	0.38353340849154416	0.40613022631954293	0.42423683529350725	0.4297803631835431	0.347380926829147	0.34292154977939987	0.39620449138486347	0.0	0.3230160775843521	0.31069079927605026	0.3713854449170526	0.3450212754758989	0.3209478265093212	0.379009897336544	0.38112900660793936	0.38248856591313973
S9H1	0.41477293246394725	0.41199995819404855	0.41371786556619705	0.43063213548908286	0.45222216475331145	0.42304927760258076	0.432641938662882	0.4217385438188677	0.39811089395176297	0.4089058528775123	0.35152559554440643	0.42584923257923923	0.42765067339911644	0.4179900946183593	0.41130756236204247	0.3978659067030255	0.4204627245310243	0.4385693335049886	0.4441128613950245	0.3617134250406284	0.35725404799088123	0.4105369895963448	0.3230160775843521	0.0	0.2805787606285523	0.385717943128534	0.3593537736873802	0.3352803247208026	0.3933423955480253	0.3954615048194207	0.39682106412462104
S17H1	0.40244765415564543	0.39967467988574673	0.40139258725789523	0.41830685718078103	0.4398968864450096	0.41072399929427894	0.42031666035458015	0.4094132655105659	0.38578561564346114	0.3965805745692105	0.3392003172361046	0.4135239542709374	0.4153253950908146	0.40566481631005746	0.39898228405374064	0.3855406283947237	0.40813744622272247	0.4262440551966868	0.43178758308672266	0.34938814673232654	0.3449287696825794	0.398211711288043	0.31069079927605026	0.2805787606285523	0.0	0.37339266482023215	0.3470284953790784	0.3229550464125007	0.38101711723972354	0.3831362265111189	0.38449578581631927
F32H1	0.43776292010075524	0.4349899458308566	0.4367078532030051	0.4536221231258909	0.4752121523901195	0.44603926523938875	0.45563192629968996	0.4447285314556757	0.42110088158857095	0.4318958405143203	0.3745155831812145	0.4488392202160473	0.4506406610359245	0.44098008225516727	0.4342975499988505	0.4208558943398335	0.44345271216783233	0.46155932114179665	0.4671028490318325	0.3847034126774364	0.38024403562768927	0.4335269772331528	0.3713854449170526	0.385717943128534	0.37339266482023215	0.0	0.30501302696459714	0.31441299674372264	0.41633238318483334	0.4184514924562287	0.4198110517614291
S15Hp	0.4113987506596015	0.40862577638970277	0.41034368376185126	0.42725795368473707	0.44884798294896566	0.41967509579823503	0.42926775685853624	0.418364362014522	0.39473671214741723	0.40553167107316657	0.34815141374006064	0.42247505077489345	0.42427649159477065	0.41461591281401355	0.4079333805576967	0.3944917248986798	0.4170885427266785	0.4351951517006428	0.4407386795906787	0.35833924323628263	0.35387986618653544	0.4071628077919991	0.3450212754758989	0.3593537736873802	0.3470284953790784	0.30501302696459714	0.0	0.28804882730256887	0.38996821374367957	0.392087323015075	0.3934468823202753
S12Hp	0.3873253016930238	0.3845523274231252	0.38627023479527367	0.4031845047181595	0.42477453398238807	0.3956016468316573	0.40519430789195854	0.3942909130479443	0.37066326318083953	0.38145822210658886	0.32407796477348305	0.39840160180831585	0.40020304262819306	0.39054246384743585	0.3838599315911191	0.3704182759321021	0.3930150937601009	0.41112170273406523	0.4166652306241011	0.334265794269705	0.32980641721995785	0.3830893588254214	0.3209478265093212	0.3352803247208026	0.3229550464125007	0.31441299674372264	0.28804882730256887	0.0	0.3658947647771019	0.3680138740484973	0.36937343335369766
31300	0.4036625296458878	0.400889555375989	0.4026074627481375	0.41952173267102333	0.4411117619352519	0.4119388747845213	0.4215315358448225	0.41062814100080824	0.3870004911337035	0.3977954500594528	0.3404151927263469	0.4147388297611797	0.4165402705810569	0.4068796918002998	0.40019715954398294	0.38675550388496605	0.40935232171296476	0.4274589306869291	0.43300245857696495	0.37742335183703973	0.3729639747872926	0.42624691639275614	0.379009897336544	0.3933423955480253	0.38101711723972354	0.41633238318483334	0.38996821374367957	0.3658947647771019	0.0	0.32515889782298923	0.3615689710342866
31328	0.40578163891728314	0.40300866464738444	0.40472657201953294	0.42164084194241874	0.44323087120664734	0.41405798405591665	0.42365064511621786	0.4127472502722036	0.38911960040509885	0.3999145593308482	0.3425343019977423	0.4168579390325751	0.41865937985245233	0.4089988010716952	0.40231626881537835	0.3888746131563614	0.4114714309843602	0.4295780399583245	0.43512156784836037	0.37954246110843515	0.37508308405868795	0.42836602566415155	0.38112900660793936	0.3954615048194207	0.3831362265111189	0.4184514924562287	0.392087323015075	0.3680138740484973	0.32515889782298923	0.0	0.363688080305682
