	w30pp	s9pp	s27pp	s14pp	s25pp	s24pp	s11pp	s22pp	s19pp	s18pp	s28pp	S28Hp	s23pp	s32pp	s12pp	s3pp	s13pp	s15pp	s20pp	s10pp	s2pp	s1pp	s29pp	s26pp	s21pp	s7pp	S29H1	s17pp	s30pp	s31pp
s2pp	0.40088936637037864	0.3865385847970447	0.2669748081298347	0.31230091561299433	0.25388415271080117	0.2298298785209016	0.3258764030665794	0.3670610967434975	0.2940511276360992	0.28418609896260094	0.35347069592817404	0.5672502993921329	0.41806419417222923	0.282071495897399	0.16230345406500274	0.27191027295951353	0.2474287644577658	0.2299776897827664	0.2999047172779546	0.1776614477373658	0.0	0.2554506747869979	0.35711031952440364	0.39531133575921973	0.34967067760854853	0.3359102755783496	2.0183552723968226	0.3559217193055183	0.3549603593634275	0.41166715903380446
s1pp	0.2722807293261593	0.25792994775282546	0.13836617108561547	0.21179670173171464	0.18766929098369514	0.16361501679379553	0.25966154133947333	0.30084623501639146	0.26207850543439937	0.2522134767609011	0.3214980737264742	0.5352776771904331	0.38609157197052935	0.25009887369569916	0.19669053612037948	0.3062973550148902	0.35153344195831515	0.33408236728331586	0.40400939477850406	0.2817661252379152	0.2554506747869979	0.0	0.1723992990939714	0.21060031532878748	0.1649596571781163	0.15119925514791738	1.8897466353526033	0.22731308226129904	0.22635172231920828	0.28305852198958514
s29pp	0.3739403740635652	0.35958959249023126	0.24002581582302124	0.3134563464691204	0.2893289357211009	0.2652746615312013	0.36132118607687913	0.40250587975379726	0.36373815017180516	0.35387312149830685	0.42315771846387995	0.6369373219278389	0.48775121670793514	0.3517585184331049	0.29835018085778525	0.407956999752296	0.45319308669572095	0.4357420120207216	0.5056690395159098	0.383425769975321	0.35711031952440364	0.1723992990939714	0.0	0.22873042642478097	0.18308976827410978	0.16932936624391087	1.991406280090009	0.32897272699870483	0.32801136705661404	0.384718166726991
s26pp	0.41214139029838126	0.39779060872504735	0.2782268320578373	0.3516573627039365	0.327529951955917	0.30347567776601736	0.3995222023116952	0.44070689598861335	0.40193916640662125	0.39207413773312294	0.46135873469869604	0.675138338162655	0.5259522329427513	0.389959534667921	0.33655119709260134	0.4461580159871121	0.49139410293053704	0.4739430282555377	0.5438700557507259	0.4216267862101371	0.39531133575921973	0.21060031532878748	0.22873042642478097	0.0	0.07914571269586362	0.10521585491400398	2.029607296324825	0.3671737432335209	0.36621238329143013	0.4229191829618071
s21pp	0.36650073214771006	0.35214995057437615	0.23258617390716613	0.3060167045532653	0.2818892938052458	0.25783501961534616	0.353881544161024	0.39506623783794215	0.35629850825595005	0.34643347958245174	0.41571807654802484	0.6294976800119838	0.48031157479208003	0.3443188765172498	0.29091053894193014	0.4005173578364409	0.44575344477986584	0.4283023701048665	0.4982293976000547	0.3759861280594659	0.34967067760854853	0.1649596571781163	0.18308976827410978	0.07914571269586362	0.0	0.0595751967633328	1.983966638174154	0.3215330850828497	0.32057172514075893	0.3772785248111359
s7pp	0.35274033011751105	0.33838954854417724	0.21882577187696722	0.2922563025230664	0.2681288917750469	0.24407461758514729	0.3401211421308251	0.38130583580774324	0.34253810622575115	0.33267307755225284	0.40195767451782594	0.6157372779817849	0.4665511727618811	0.3305584744870509	0.27715013691173124	0.386756955806242	0.43199304274966693	0.4145419680746676	0.4844689955698558	0.362225726029267	0.3359102755783496	0.15119925514791738	0.16932936624391087	0.10521585491400398	0.0595751967633328	0.0	1.9702062361439552	0.3077726830526508	0.30681132311056003	0.36351812278093687
S29H1	1.9143970202031892	1.9767022260986664	1.8571384494314565	1.9747012993415394	1.9505738885935198	1.9265196144036203	2.022566138949298	2.063750832626216	2.024983103044224	2.0151180743707258	2.084402671336299	2.298182274800258	2.148996169580354	2.013003471305524	1.9595951337302042	2.0692019526247147	2.1144380395681397	2.0969869648931403	2.1669139923883285	2.04467072284774	2.0183552723968226	1.8897466353526033	1.991406280090009	2.029607296324825	1.983966638174154	1.9702062361439552	0.0	1.869429373138329	1.8684680131962381	1.925174812866615
s17pp	0.25196146711088496	0.31426867300736205	0.1947048963401521	0.312267746250235	0.2881403355022155	0.26408606131231593	0.3601325858579937	0.4013172795349118	0.36254954995291977	0.3526845212794215	0.4219691182449945	0.6357487217089535	0.48656261648904975	0.35056991821421957	0.29716158063889986	0.4067683995334106	0.45200448647683555	0.43455341180183615	0.5044804392970244	0.3822371697564356	0.3559217193055183	0.22731308226129904	0.32897272699870483	0.3671737432335209	0.3215330850828497	0.3077726830526508	1.869429373138329	0.0	0.20603246010393392	0.2627392597743108
s30pp	0.18005257245501124	0.3133073130652713	0.19374353639806133	0.3113063863081443	0.2871789755601248	0.26312470137022514	0.3591712259159029	0.400355919592821	0.361588190010829	0.3517231613373307	0.4210077583029037	0.6347873617668627	0.48560125654695896	0.3496085582721288	0.2962002206968091	0.4058070395913198	0.45104312653474476	0.43359205185974536	0.5035190793549336	0.38127580981434483	0.3549603593634275	0.22635172231920828	0.32801136705661404	0.36621238329143013	0.32057172514075893	0.30681132311056003	1.8684680131962381	0.20603246010393392	0.0	0.19083036511843707
s31pp	0.14793920867591676	0.3700141127356482	0.2504503360684382	0.3680131859785212	0.3438857752305017	0.319831501040602	0.41587802558627984	0.45706271926319797	0.41829498968120593	0.4084299610077077	0.47771455797328066	0.6914941614372396	0.5423080562173359	0.40631535794250573	0.352907020367186	0.46251383926169676	0.5077499262051217	0.4902988515301223	0.5602258790253105	0.4379826094847218	0.41166715903380446	0.28305852198958514	0.384718166726991	0.4229191829618071	0.3772785248111359	0.36351812278093687	1.925174812866615	0.2627392597743108	0.19083036511843707	0.0
