	530451	S12Hp	S16H2	31700	31333	S3Hp	530295	S4Hp	S21H1	530050	31160	f1pp	w10pp	w24pp	w2pp	w11pp	w1pp	f24pp	f10pp	f20ppA	w26pp	f12ppB	w22pp	531414	f6ppB	w9pp	F22HpB	530364	S2Hp	S26Hp	S31Hp
31160	0.3852775233710603	0.3371951674902193	0.36208683065221603	0.3687172507006232	0.36354704099523005	0.38290481634442874	0.3607563569879287	0.3937519554952318	0.36598021311811413	0.32161132548044924	0.0	0.2889869631404605	0.3097542620766083	0.31376093348036793	0.3242055838928558	0.29700699511704276	0.3431974220163451	0.33296170875870573	0.3345879832155214	0.3026083526270108	0.3075622653877871	0.33022494645585615	0.32789038205729076	0.4011350806810696	0.3103957117327001	0.3446856520556211	0.34321708234367415	0.35314340741397554	0.3763882886615088	0.3480466436719344	0.39366589752480696
f1pp	0.332551480175136	0.28446912429429505	0.3093607874562918	0.315991207504699	0.3108209977993057	0.3301787731485044	0.3080303137920044	0.34102591229930757	0.3132541699221898	0.2925331272784259	0.2889869631404605	0.0	0.12586135894560438	0.12986803034936403	0.1403126807618519	0.11311409198603885	0.1593045188853412	0.1490688056277018	0.1506950800845175	0.11871544949600688	0.12366936225678318	0.14633204332485222	0.14399747892628686	0.21724217755006567	0.1265028086016962	0.16079274892461717	0.2904910391477499	0.3004173642180513	0.32366224546558453	0.29532060047601005	0.3409398543288827
w10pp	0.3533187791112838	0.3052364232304428	0.3301280863924395	0.3367585064408467	0.33158829673545354	0.3509460720846522	0.32879761272815217	0.36179321123545527	0.3340214688583376	0.31330042621457366	0.3097542620766083	0.12586135894560438	0.0	0.14269198151942392	0.1531366319319118	0.12593804315609872	0.17212847005540105	0.16189275679776166	0.16351903125457737	0.13153940066606676	0.13649331342684304	0.15915599449491208	0.15682143009634672	0.23006612872012555	0.13932675977175607	0.17361670009467703	0.31125833808389763	0.321184663154199	0.3444295444017323	0.31608789941215787	0.36170715326503045
w24pp	0.35732545051504344	0.3092430946342025	0.3341347577961992	0.3407651778446064	0.3355949681392132	0.3549527434884119	0.3328042841319119	0.365799882639215	0.33802814026209727	0.3173070976183333	0.31376093348036793	0.12986803034936403	0.14269198151942392	0.0	0.10694094974215021	0.07974236096633715	0.14541401751592747	0.13517830425828806	0.13680457871510376	0.10482494812659315	0.10977886088736943	0.13244154195543847	0.13010697755687312	0.20335167618065192	0.11261230723228247	0.14690224755520342	0.31526500948765734	0.32519133455795873	0.348436215805492	0.3200945708159175	0.3657138246687901
w2pp	0.3677701009275313	0.3196877450466904	0.3445794082086871	0.3512098282570943	0.34603961855170107	0.36539739390089976	0.34324893454439975	0.37624453305170286	0.34847279067458514	0.3277517480308212	0.3242055838928558	0.1403126807618519	0.1531366319319118	0.10694094974215021	0.0	0.08019032271160667	0.15585866792841535	0.14562295467077596	0.14724922912759164	0.11526959853908103	0.12022351129985731	0.14288619236792638	0.140551627969361	0.2137963265931398	0.12305695764477034	0.1573468979676913	0.3257096599001452	0.3356359849704466	0.3588808662179799	0.3305392212284054	0.376158475081278
w11pp	0.34057151215171827	0.2924891562708773	0.317380819432874	0.3240112394812812	0.318841029775888	0.3381988051250867	0.31605034576858665	0.34904594427588975	0.3212742018987721	0.30055315925500814	0.29700699511704276	0.11311409198603885	0.12593804315609872	0.07974236096633715	0.08019032271160667	0.0	0.12866007915260227	0.11842436589496289	0.12005064035177859	0.08807100976326797	0.09302492252404425	0.1156876035921133	0.11335303919354794	0.18659773781732675	0.09585836886895727	0.13014830919187825	0.2985110711243321	0.3084373961946335	0.3316822774421668	0.30334063245259235	0.34895988630546493
w1pp	0.38676193905102063	0.33867958317017965	0.3635712463321764	0.3702016663805836	0.3650314566751903	0.384389232024389	0.362240772667889	0.39523637117519217	0.3674646287980744	0.3467435861543105	0.3431974220163451	0.1593045188853412	0.17212847005540105	0.14541401751592747	0.15585866792841535	0.12866007915260227	0.0	0.12144170515792595	0.12452108062750528	0.10726035635146063	0.12717909982746406	0.14984178089553307	0.14750721649696774	0.22075191512074654	0.13001254617237706	0.16430248649529805	0.3447014980236345	0.3546278230939359	0.37787270434146913	0.34953105935189466	0.3951503132047673
f24pp	0.37652622579338124	0.32844386991254026	0.353335533074537	0.3599659531229442	0.35479574341755094	0.3741535187667496	0.3520050594102496	0.3850006579175528	0.357228915540435	0.3365078728966711	0.33296170875870573	0.1490688056277018	0.16189275679776166	0.13517830425828806	0.14562295467077596	0.11842436589496289	0.12144170515792595	0.0	0.11428536736986587	0.09702464309382122	0.11694338656982464	0.13960606763789368	0.13727150323932832	0.21051620186310713	0.11977683291473767	0.15406677323765863	0.3344657847659951	0.34439210983629653	0.36763699108382975	0.33929534609425527	0.3849145999471279
f10pp	0.3781525002501969	0.33007014436935594	0.35496180753135265	0.36159222757975984	0.35642201787436667	0.37577979322356536	0.3536313338670653	0.3866269323743684	0.35885518999725075	0.3381341473534868	0.3345879832155214	0.1506950800845175	0.16351903125457737	0.13680457871510376	0.14724922912759164	0.12005064035177859	0.12452108062750528	0.11428536736986587	0.0	0.09865091755063693	0.11856966102664035	0.1412323420947094	0.13889777769614403	0.21214247631992283	0.12140310737155338	0.15569304769447434	0.33609205922281077	0.34601838429311216	0.3692632655406454	0.340921620551071	0.3865408744039436
f20ppA	0.3461728696616863	0.29809051378084533	0.32298217694284204	0.32961259699124923	0.32444238728585606	0.34380016263505475	0.3216517032785547	0.3546473017858578	0.32687555940874014	0.3061545167649762	0.3026083526270108	0.11871544949600688	0.13153940066606676	0.10482494812659315	0.11526959853908103	0.08807100976326797	0.10726035635146063	0.09702464309382122	0.09865091755063693	0.0	0.08659003043812974	0.10925271150619878	0.10691814710763342	0.18016284573141222	0.08942347678304277	0.12371341710596373	0.30411242863430016	0.31403875370460155	0.3372836349521348	0.3089419899625604	0.35456124381543297
