	S16H2	w27pp	s32pp	s12pp	f21pp	f8pp	f12ppB	f18pp	w3pp	s23pp	S13Hp	w17pp	F6H1	F23HpA	31600	S18H1	S6Hp	f19pp	f1pp	s1pp	f12ppA	f4pp	f11pp	f7pp	f30pp	w9pp	f17ppA	f22ppA	f14ppB	f15pp
S13Hp	0.19017116135492695	0.176989277322323	0.18323308427596274	0.20994671657760883	0.16140156115014714	0.15356763714670044	0.16083261695006845	0.14389871723328046	0.12213535765275571	0.1598791952982243	0.0	0.19179937812766473	0.6233657234157381	0.6119140156646172	0.6362247095750615	0.599249867480944	0.5972392158697905	0.19778631828034204	0.1979528801660352	0.25130505204763603	0.196038790321638	0.1719619729477283	0.17782297234347239	0.17109727730917573	0.1888294804712545	0.1765524095137963	0.16796811885072777	0.1545047112820176	0.15250504432035988	0.17250702138129864
w17pp	0.18320952430976262	0.1700276402771586	0.1762714472307984	0.20298507953244443	0.16984799415737178	0.16201407015392505	0.1692790499572931	0.1523451502405051	0.1555767615067674	0.2220705245097282	0.19179937812766473	0.0	0.5210579766766655	0.5096062689255445	0.5339169628359889	0.49694212074187133	0.4949314691307178	0.12068407600650409	0.12085063789219726	0.17420280977379807	0.13028846814296494	0.1062116507690552	0.12781918043995535	0.12109348540565867	0.13882568856773747	0.12654861761027925	0.13265139645651247	0.11918798888780227	0.12723272596757496	0.1655453843361343
F6H1	0.614775869597836	0.601593985565232	0.6078377925188718	0.6345514248205179	0.6014143394454452	0.5935804154419985	0.6008453952453665	0.5839114955285785	0.5871431067948408	0.6536368697978016	0.6233657234157381	0.5210579766766655	0.0	0.39833090902703994	0.48558026622562067	0.44860542413150306	0.4465947725203495	0.5522504212945776	0.5524169831802708	0.6057691550618716	0.5618548134310384	0.5377779960571287	0.5593855257280288	0.552659830693732	0.5703920338558108	0.5581149628983527	0.5642177417445859	0.5507543341758757	0.5587990712556483	0.5971117296242077
F23HpA	0.6033241618467151	0.5901422778141111	0.5963860847677509	0.6230997170693969	0.5899626316943243	0.5821287076908775	0.5893936874942456	0.5724597877774575	0.5756913990437199	0.6421851620466806	0.6119140156646172	0.5096062689255445	0.39833090902703994	0.0	0.47412855847449964	0.43715371638038214	0.4351430647692286	0.5407987135434565	0.5409652754291497	0.5943174473107505	0.5504031056799173	0.5263262883060076	0.5479338179769078	0.5412081229426111	0.5589403261046899	0.5466632551472317	0.5527660339934649	0.5393026264247547	0.5473473635045274	0.5856600218730867
31600	0.6276348557571594	0.6144529717245554	0.6206967786781952	0.6474104109798412	0.6142733256047685	0.6064394016013218	0.6137043814046899	0.5967704816879018	0.6000020929541642	0.6664958559571249	0.6362247095750615	0.5339169628359889	0.48558026622562067	0.47412855847449964	0.0	0.34424952544182313	0.3422388738306696	0.5651094074539009	0.565275969339594	0.6186281412211948	0.5747137995903617	0.550636982216452	0.5722445118873521	0.5655188168530554	0.5832510200151342	0.5709739490576761	0.5770767279039093	0.5636133203351991	0.5716580574149717	0.609970715783531
S18H1	0.5906600136630419	0.5774781296304379	0.5837219365840777	0.6104355688857237	0.577298483510651	0.5694645595072043	0.5767295393105724	0.5597956395937844	0.5630272508600467	0.6295210138630075	0.599249867480944	0.49694212074187133	0.44860542413150306	0.43715371638038214	0.34424952544182313	0.0	0.22954216639109515	0.5281345653597833	0.5283011272454765	0.5816532991270773	0.5377389574962442	0.5136621401223345	0.5352696697932346	0.528543974758938	0.5462761779210167	0.5339991069635586	0.5401018858097918	0.5266384782410816	0.5346832153208543	0.5729958736894135
S6Hp	0.5886493620518883	0.5754674780192843	0.5817112849729241	0.6084249172745702	0.5752878318994975	0.5674539078960508	0.5747188876994188	0.5577849879826309	0.5610165992488931	0.627510362251854	0.5972392158697905	0.4949314691307178	0.4465947725203495	0.4351430647692286	0.3422388738306696	0.22954216639109515	0.0	0.5261239137486298	0.526290475634323	0.5796426475159238	0.5357283058850907	0.5116514885111809	0.5332590181820811	0.5265333231477844	0.5442655263098631	0.531988455352405	0.5380912341986382	0.524627826629928	0.5326725637097007	0.57098522207826
f19pp	0.18919646446243993	0.17601458042983592	0.18225838738347572	0.20897201968512175	0.1758349343100491	0.1680010103066024	0.1752659901099704	0.1583320903931824	0.16156370165944475	0.2280574646624055	0.19778631828034204	0.12068407600650409	0.5522504212945776	0.5407987135434565	0.5651094074539009	0.5281345653597833	0.5261239137486298	0.0	0.11531316341022912	0.16866533529182992	0.13627540829564228	0.11219859092173252	0.13380612059263267	0.12708042555833599	0.14481262872041478	0.13253555776295659	0.13863833660918978	0.1251749290404796	0.13321966612025227	0.17153232448881162
f1pp	0.18936302634813307	0.17618114231552912	0.18242494926916886	0.20913858157081494	0.17600149619574226	0.16816757219229556	0.17543255199566357	0.15849865227887558	0.16173026354513792	0.2282240265480987	0.1979528801660352	0.12085063789219726	0.5524169831802708	0.5409652754291497	0.565275969339594	0.5283011272454765	0.526290475634323	0.11531316341022912	0.0	0.13818613503864963	0.13644197018133541	0.11236515280742569	0.13397268247832583	0.12724698744402918	0.14497919060610795	0.13270211964864975	0.13880489849488295	0.12534149092617278	0.13338622800594546	0.17169888637450476
s1pp	0.24271519822973392	0.2295333141971299	0.2357771211507697	0.26249075345241574	0.2293536680773431	0.22151974407389635	0.2287847238772644	0.2118508241604764	0.21508243542673872	0.2815761984296995	0.25130505204763603	0.17420280977379807	0.6057691550618716	0.5943174473107505	0.6186281412211948	0.5816532991270773	0.5796426475159238	0.16866533529182992	0.13818613503864963	0.0	0.18979414206293624	0.1657173246890265	0.18732485435992666	0.18059915932562998	0.19833136248770877	0.18605429153025055	0.19215707037648377	0.1786936628077736	0.18673839988754626	0.2250510582561056
