	f7pp	w16pp	w28pp	w20pp	f16ppA	w18pp	w3pp	w14pp	w22pp	w19pp	f6ppA	w10pp	f18pp	w1pp	w13pp	31300	S6Hp	S26Hp	S19H1	w9pp	S28Hp	s1pp	S18H1	31267	31452	f4pp	w15pp	w29pp	w11pp	w23pp	f8pp	w32pp	w4pp	w2pp	f17ppB	s12pp	s17pp	w27pp	f10pp	w17pp
S28Hp	0.6500334780405314	0.6804766025696849	0.647894240184175	0.6314756818524937	0.6520706663096615	0.6338030190162721	0.6729618687896954	0.642980135764092	0.625567536244908	0.6313284827011978	0.6612489117734979	0.6277655185306794	0.5996620195203223	0.600253790622321	0.5958168050259953	0.7063992702912858	0.7212933429547854	0.7081041300118666	0.7140686726505133	0.510138992718002	0.0	0.21846175115293687	0.2212286645418608	0.3315419121715086	0.33814708660631543	0.6067589669530311	0.6473191986462843	0.639577876754545	0.634838592697029	0.6488250083260574	0.6366040689729358	0.6673258711839111	0.6980285887615076	0.6610709130317897	0.6913441150516437	0.7163187141588557	0.7272842701357008	0.6767412532267375	0.642839810166562	0.5987053453981108
s1pp	0.6503702597822251	0.6808133843113786	0.6482310219258687	0.6318124635941874	0.6524074480513552	0.6341398007579658	0.6732986505313892	0.6433169175057857	0.6259043179866017	0.6316652644428915	0.6615856935151916	0.6281023002723731	0.599998801262016	0.6005905723640147	0.596153586767689	0.7067360520329795	0.7216301246964791	0.7084409117535603	0.714405454392207	0.5104757744596956	0.21846175115293687	0.0	0.16092384238308355	0.33187869391320224	0.3384838683480091	0.6070957486947248	0.647655980387978	0.6399146584962387	0.6351753744387227	0.6491617900677511	0.6369408507146295	0.6676626529256048	0.6983653705032014	0.6614076947734834	0.6916808967933374	0.7166554959005494	0.7276210518773946	0.6770780349684312	0.6431765919082557	0.5990421271398045
S18H1	0.6531371731711489	0.6835802977003025	0.6509979353147926	0.6345793769831113	0.6551743614402791	0.6369067141468897	0.676065563920313	0.6460838308947096	0.6286712313755256	0.6344321778318154	0.6643526069041155	0.630869213661297	0.6027657146509399	0.6033574857529386	0.5989205001566129	0.7095029654219034	0.724397038085403	0.7112078251424842	0.7171723677811309	0.5132426878486196	0.2212286645418608	0.16092384238308355	0.0	0.33464560730212617	0.341250781736933	0.6098626620836487	0.6504228937769019	0.6426815718851626	0.6379422878276466	0.651928703456675	0.6397077641035533	0.6704295663145287	0.7011322838921252	0.6641746081624073	0.6944478101822613	0.7194224092894733	0.7303879652663184	0.6798449483573551	0.6459435052971796	0.6018090405287284
31267	0.6478362889246654	0.6782794134538189	0.645697051068309	0.6292784927366277	0.6498734771937955	0.6316058299004061	0.6707646796738294	0.640782946648226	0.623370347129042	0.6291312935853318	0.6590517226576319	0.6255683294148136	0.5974648304044563	0.598056601506455	0.5936196159101294	0.7042020811754197	0.7190961538389193	0.7059069408960006	0.7118714835346474	0.5079418036021359	0.3315419121715086	0.33187869391320224	0.33464560730212617	0.0	0.21851387647744258	0.6045617778371651	0.6451220095304183	0.637380687638679	0.632641403581163	0.6466278192101914	0.6344068798570698	0.6651286820680451	0.6958313996456417	0.6588737239159237	0.6891469259357776	0.7141215250429898	0.7250870810198349	0.6745440641108715	0.640642621050696	0.5965081562822449
31452	0.6544414633594722	0.6848845878886257	0.6523022255031158	0.6358836671714345	0.6564786516286023	0.6382110043352129	0.6773698541086361	0.6473881210830328	0.6299755215638488	0.6357364680201386	0.6656568970924387	0.6321735038496203	0.6040700048392631	0.6046617759412618	0.6002247903449361	0.7108072556102265	0.7257013282737261	0.7125121153308074	0.7184766579694541	0.5145469780369428	0.33814708660631543	0.3384838683480091	0.341250781736933	0.21851387647744258	0.0	0.6111669522719719	0.6517271839652251	0.6439858620734858	0.6392465780159698	0.6532329936449982	0.6410120542918766	0.6717338565028519	0.7024365740804485	0.6654788983507305	0.6957521003705844	0.7207266994777966	0.7316922554546417	0.6811492385456783	0.6472477954855028	0.6031133307170516
f4pp	0.16155239822593304	0.1919955227550866	0.1594131603695767	0.14299460203789544	0.16358958649506314	0.1453219392016738	0.18448078897509707	0.15449905594949362	0.1370864564303096	0.14284740288659936	0.1727678319588995	0.1392844387160811	0.12124131294021039	0.12183308404220908	0.14119549995513475	0.3125718008662942	0.32746587352979384	0.31427666058687503	0.3202412032255218	0.1969321340077999	0.6067589669530311	0.6070957486947248	0.6098626620836487	0.6045617778371651	0.6111669522719719	0.0	0.158838118831686	0.1510967969399467	0.1463575128824307	0.1603439285114591	0.1481229891583374	0.1788447913693127	0.20954750894690932	0.17258983321719135	0.20286303523704535	0.2278376343442574	0.23880319032110253	0.18826017341213916	0.1543587303519637	0.11022426558351256
w15pp	0.1677507426603539	0.19819386718950746	0.16561150480399756	0.1491929464723163	0.169787930929484	0.15152028363609465	0.19067913340951792	0.16069740038391447	0.16130794973367407	0.16706889618996384	0.19698932526226393	0.16350593201944555	0.1618015446334637	0.1623933157354624	0.1817557316483881	0.35313203255954756	0.3680261052230472	0.3548368922801284	0.36080143491877514	0.23749236570105325	0.6473191986462843	0.647655980387978	0.6504228937769019	0.6451220095304183	0.6517271839652251	0.158838118831686	0.0	0.10908395843246331	0.11856885861034791	0.1325552742393763	0.13676130647518878	0.16748310868616406	0.1981858262637607	0.1612281505340427	0.19150135255389672	0.21647595166110878	0.2274415076379539	0.17689849072899053	0.14299704766881507	0.11642261001793341
w29pp	0.16000942076861457	0.19045254529776814	0.15787018291225824	0.14145162458057697	0.16204660903774468	0.14377896174435534	0.1829378115177786	0.15295607849217516	0.15356662784193476	0.15932757429822453	0.18924800337052464	0.15576461012770626	0.1540602227417244	0.15465199384372308	0.17401440975664878	0.34539071066780824	0.36028478333130787	0.34709557038838906	0.3530601130270358	0.22975104380931394	0.639577876754545	0.6399146584962387	0.6426815718851626	0.637380687638679	0.6439858620734858	0.1510967969399467	0.10908395843246331	0.0	0.1108275367186086	0.124813952347637	0.1290199845834495	0.15974178679442474	0.19044450437202137	0.1534868286423034	0.1837600306621574	0.2087346297693695	0.2197001857462146	0.16915716883725124	0.13525572577707579	0.1086812881261941
w11pp	0.15527013671109857	0.18571326124025214	0.15313089885474224	0.13671234052306097	0.15730732498022867	0.13903967768683934	0.1781985274602626	0.14821679443465915	0.14882734378441875	0.15458829024070853	0.18450871931300863	0.15102532607019026	0.1493209386842084	0.14991270978620708	0.16927512569913278	0.34065142661029224	0.35554549927379187	0.34235628633087306	0.3483208289695198	0.22501175975179794	0.634838592697029	0.6351753744387227	0.6379422878276466	0.632641403581163	0.6392465780159698	0.1463575128824307	0.11856885861034791	0.1108275367186086	0.0	0.09654611734685456	0.12428070052593347	0.15500250273690874	0.18570522031450537	0.1487475445847874	0.1790207466046414	0.2039953457118535	0.2149609016886986	0.16441788477973523	0.13051644171955978	0.1039420040686781
w23pp	0.169256552340127	0.19969967686928056	0.16711731448377065	0.15069875615208939	0.1712937406092571	0.15302609331586775	0.19218494308929102	0.16220321006368757	0.16281375941344717	0.16857470586973694	0.19849513494203702	0.16501174169921864	0.16330735431323679	0.1638991254152355	0.1832615413281612	0.35463784223932066	0.3695319149028203	0.3563427019599015	0.36230724459854824	0.23899817538082635	0.6488250083260574	0.6491617900677511	0.651928703456675	0.6466278192101914	0.6532329936449982	0.1603439285114591	0.1325552742393763	0.124813952347637	0.09654611734685456	0.0	0.13826711615496187	0.16898891836593716	0.19969163594353379	0.1627339602138158	0.19300716223366982	0.21798176134088187	0.228947317317727	0.17840430040876362	0.14450285734858817	0.11792841969770651
